Source,Target,Type,Label,Symptom_Occurence,Association_Strength,Weight
C0030193,C0021311,Directed,pain,44,0.6666666666666666,5.8133333333333335
C0277797,C0021311,Directed,apyrexial,22,0.6333333333333333,7.306666666666668
C0010200,C0021311,Directed,cough,25,0.6,6.799999999999999
C0015967,C0042029,Directed,fever,39,0.9666666666666667,8.613333333333333
C0013428,C0042029,Directed,dysuria,5,0.9333333333333333,11.066666666666666
C0018965,C0042029,Directed,hematuria,8,0.9,10.56
C0235634,C0042029,Directed,renal angle tenderness,2,0.8666666666666667,10.773333333333333
C0023380,C0042029,Directed,lethargy,9,0.8333333333333334,9.946666666666669
C0004093,C0042029,Directed,asthenia,24,0.8,8.48
C0020625,C0042029,Directed,hyponatremia,10,0.7666666666666667,9.333333333333334
C0578150,C0042029,Directed,hemodynamically stable,11,0.7333333333333333,8.986666666666668
C0476273,C0042029,Directed,distress respiratory,14,0.7,8.479999999999999
C0241705,C0042029,Directed,difficulty passing urine,3,0.6666666666666666,9.093333333333334
C0856054,C0042029,Directed,mental status changes,9,0.6333333333333333,8.346666666666668
C0239110,C0042029,Directed,consciousness clear,7,0.6,8.24
C0085593,C0002871,Directed,chill,26,0.9666666666666667,9.653333333333334
C0744492,C0002871,Directed,guaiac positive,9,0.9333333333333333,10.746666666666666
C0746619,C0002871,Directed,monoclonal,3,0.9,10.96
C0013491,C0002871,Directed,ecchymosis,5,0.8666666666666667,10.533333333333335
C1269955,C0002871,Directed,tumor cell invasion,10,0.8333333333333334,9.866666666666667
C0019080,C0002871,Directed,haemorrhage,15,0.8,9.200000000000001
C0030232,C0002871,Directed,pallor,2,0.7666666666666667,9.973333333333334
C0004093,C0002871,Directed,asthenia,24,0.7333333333333333,7.946666666666666
C0015672,C0002871,Directed,fatigue,12,0.7,8.64
C0744740,C0002871,Directed,heme positive,3,0.6666666666666666,9.093333333333334
C0004604,C0002871,Directed,pain back,2,0.6333333333333333,8.906666666666666
C0149746,C0002871,Directed,orthostasis,6,0.6,8.32
C0020625,C0002871,Directed,hyponatremia,10,0.5666666666666667,7.733333333333334
C0012833,C0002871,Directed,dizziness,8,0.5333333333333333,7.626666666666667
C0392680,C0002871,Directed,shortness of breath,49,0.5,4.08
C0030193,C0002871,Directed,pain,44,0.4666666666666667,4.213333333333333
C0035508,C0002871,Directed,rhonchus,8,0.43333333333333335,6.826666666666668
C0003862,C0002871,Directed,arthralgia,3,0.4,6.960000000000001
C0038999,C0002871,Directed,swelling,14,0.36666666666666664,5.813333333333333
C1096646,C0002871,Directed,transaminitis,8,0.3333333333333333,6.026666666666667
C0392680,C0024117,Directed,shortness of breath,49,0.9666666666666667,7.813333333333334
C0043144,C0024117,Directed,wheezing,11,0.9333333333333333,10.58666666666667
C0010200,C0024117,Directed,cough,25,0.9,9.200000000000001
C0013404,C0024117,Directed,dyspnea,24,0.8666666666666667,9.013333333333334
C0476273,C0024117,Directed,distress respiratory,14,0.8333333333333334,9.546666666666667
C0241235,C0024117,Directed,sputum purulent,3,0.8,10.16
C0700292,C0024117,Directed,hypoxemia,4,0.7666666666666667,9.813333333333334
C0020440,C0024117,Directed,hypercapnia,3,0.7333333333333333,9.626666666666667
C0376405,C0024117,Directed,patient non compliance,15,0.7,8.399999999999999
C0232292,C0024117,Directed,chest tightness,9,0.6666666666666666,8.613333333333333
C0015967,C0497327,Directed,fever,39,0.9666666666666667,8.613333333333333
C0085639,C0497327,Directed,fall,9,0.9333333333333333,10.746666666666666
C0241526,C0497327,Directed,unresponsiveness,25,0.9,9.200000000000001
C0023380,C0497327,Directed,lethargy,9,0.8666666666666667,10.213333333333335
C0085631,C0497327,Directed,agitation,21,0.8333333333333334,8.986666666666668
C0013491,C0497327,Directed,ecchymosis,5,0.8,10.000000000000002
C0039070,C0497327,Directed,syncope,15,0.7666666666666667,8.933333333333334
C0034642,C0497327,Directed,rale,22,0.7333333333333333,8.106666666666666
C0041657,C0497327,Directed,unconscious state,7,0.7,9.04
C0010200,C0497327,Directed,cough,25,0.6666666666666666,7.333333333333334
C0425251,C0497327,Directed,bedridden,4,0.6333333333333333,8.746666666666666
C0741453,C0497327,Directed,bedridden,4,0.6,8.48
C0030193,C0497327,Directed,pain,44,0.5666666666666667,5.013333333333334
C0427055,C0497327,Directed,facial paresis,10,0.5333333333333333,7.466666666666669
C0232498,C0497327,Directed,abdominal tenderness,8,0.5,7.359999999999999
C0035508,C0497327,Directed,rhonchus,8,0.4666666666666667,7.093333333333334
C1273573,C0497327,Directed,unsteady gait,7,0.43333333333333335,6.906666666666668
C0233762,C0497327,Directed,hallucinations auditory,15,0.4,6.000000000000001
C0392680,C1565489,Directed,shortness of breath,49,0.9666666666666667,7.813333333333334
C0020461,C1565489,Directed,hyperkalemia,9,0.9333333333333333,10.746666666666666
C0085619,C1565489,Directed,orthopnea,15,0.9,10.0
C0034642,C1565489,Directed,rale,22,0.8666666666666667,9.173333333333334
C0085606,C1565489,Directed,urgency of micturition,4,0.8333333333333334,10.346666666666668
C0003962,C1565489,Directed,ascites,12,0.8,9.440000000000001
C0744492,C1565489,Directed,guaiac positive,9,0.7666666666666667,9.413333333333334
C0004093,C1565489,Directed,asthenia,24,0.7333333333333333,7.946666666666666
C0277797,C1565489,Directed,apyrexial,22,0.7,7.84
C0856054,C1565489,Directed,mental status changes,9,0.6666666666666666,8.613333333333333
C0013404,C1565489,Directed,dyspnea,24,0.6333333333333333,7.146666666666668
C1299586,C1565489,Directed,difficulty,12,0.6,7.84
C0011991,C1565489,Directed,diarrhea,30,0.5666666666666667,6.133333333333334
C0020649,C1565489,Directed,hypotension,19,0.5333333333333333,6.746666666666668
C0238844,C1565489,Directed,breath sounds decreased,7,0.5,7.4399999999999995
C0038999,C1565489,Directed,swelling,14,0.4666666666666667,6.613333333333333
C0086439,C1565489,Directed,hypokinesia,13,0.43333333333333335,6.426666666666668
C0036572,C0009676,Directed,seizure,10,0.9666666666666667,10.933333333333335
C0014394,C0009676,Directed,enuresis,4,0.9333333333333333,11.146666666666667
C0023380,C0009676,Directed,lethargy,9,0.9,10.48
C0234518,C0009676,Directed,speech slurred,5,0.8666666666666667,10.533333333333335
C0085639,C0009676,Directed,fall,9,0.8333333333333334,9.946666666666669
C0239110,C0009676,Directed,consciousness clear,7,0.8,9.840000000000002
C0856054,C0009676,Directed,mental status changes,9,0.7666666666666667,9.413333333333334
C0232766,C0009676,Directed,asterixis,4,0.7333333333333333,9.546666666666667
C0041657,C0009676,Directed,unconscious state,7,0.7,9.04
C0085631,C0009676,Directed,agitation,21,0.6666666666666666,7.653333333333333
C0231530,C0009676,Directed,muscle twitch,7,0.6333333333333333,8.506666666666668
C0004093,C0009676,Directed,asthenia,24,0.6,6.879999999999999
C0234450,C0009676,Directed,sleepy,12,0.5666666666666667,7.573333333333334
C0012833,C0009676,Directed,dizziness,8,0.5333333333333333,7.626666666666667
C0018681,C0009676,Directed,headache,12,0.5,7.040000000000001
C0013362,C0009676,Directed,dysarthria,6,0.4666666666666667,7.253333333333334
C0220870,C0009676,Directed,lightheadedness,5,0.43333333333333335,7.066666666666668
C0040822,C0009676,Directed,tremor,15,0.4,6.000000000000001
C0020625,C0009676,Directed,hyponatremia,10,0.36666666666666664,6.133333333333334
C0241526,C0009676,Directed,unresponsiveness,25,0.3333333333333333,4.666666666666667
C0030193,C0029408,Directed,pain,44,0.9666666666666667,8.213333333333335
C0149696,C0029408,Directed,food  intolerance,5,0.9333333333333333,11.066666666666666
C0239832,C0029408,Directed,numbness  of hand,4,0.9,10.88
C0858924,C0029408,Directed,general  discomfort,6,0.8666666666666667,10.453333333333335
C0013144,C0029408,Directed,drowsiness,12,0.8333333333333334,9.706666666666667
C0004093,C0029408,Directed,asthenia,24,0.8,8.48
C0337672,C0029408,Directed,nonsmoker,2,0.7666666666666667,9.973333333333334
C0850149,C0029408,Directed,non-productive  cough,11,0.7333333333333333,8.986666666666668
C0085602,C0029408,Directed,polydypsia,5,0.7,9.2
C0427008,C0029408,Directed,stiffness,4,0.6666666666666666,9.013333333333334
C1273573,C0029408,Directed,unsteady  gait,7,0.6333333333333333,8.506666666666668
C0392680,C0020676,Directed,shortness of breath,49,0.9666666666666667,7.813333333333334
C0242453,C0020676,Directed,prostatism,9,0.9333333333333333,10.746666666666666
C0013144,C0020676,Directed,drowsiness,12,0.9,10.24
C0234450,C0020676,Directed,sleepy,12,0.8666666666666667,9.973333333333334
C0020625,C0020676,Directed,hyponatremia,10,0.8333333333333334,9.866666666666667
C0085639,C0020676,Directed,fall,9,0.8,9.680000000000001
C1273573,C0020676,Directed,unsteady gait,7,0.7666666666666667,9.573333333333334
C0032617,C0020676,Directed,polyuria,4,0.7333333333333333,9.546666666666667
C0020649,C0020676,Directed,hypotension,19,0.7,8.08
C1299586,C0020676,Directed,difficulty,12,0.6666666666666666,8.373333333333333
C0039070,C0020676,Directed,syncope,15,0.6333333333333333,7.866666666666666
C0028084,C0020676,Directed,nightmare,7,0.6,8.24
C0234518,C0020676,Directed,speech slurred,5,0.5666666666666667,8.133333333333335
C0043094,C0020676,Directed,weight gain,4,0.5333333333333333,7.946666666666667
C0004093,C0020676,Directed,asthenia,24,0.5,6.080000000000001
C0015672,C0020676,Directed,fatigue,12,0.4666666666666667,6.773333333333333
C0557875,C0020676,Directed,tired,3,0.43333333333333335,7.226666666666667
C0085631,C0020676,Directed,agitation,21,0.4,5.5200000000000005
C0856054,C0020676,Directed,mental status changes,9,0.36666666666666664,6.213333333333333
C0424230,C0020676,Directed,motor retardation,6,0.3333333333333333,6.186666666666667
C0042963,C0020676,Directed,vomiting,26,0.3,4.32
C0028643,C0020676,Directed,numbness,6,0.26666666666666666,5.653333333333333
C0577559,C0020676,Directed,mass of body structure,20,0.23333333333333334,4.266666666666667
C0233481,C0700613,Directed,worry,12,0.9666666666666667,10.773333333333335
C0424000,C0700613,Directed,feeling suicidal,16,0.9333333333333333,10.186666666666667
C0438696,C0700613,Directed,suicidal,14,0.9,10.08
C0917801,C0700613,Directed,sleeplessness,11,0.8666666666666667,10.053333333333335
C0150041,C0700613,Directed,feeling hopeless,12,0.8333333333333334,9.706666666666667
C0022107,C0700613,Directed,irritable mood,14,0.8,9.280000000000001
C0040822,C0700613,Directed,tremor,15,0.7666666666666667,8.933333333333334
C0312422,C0700613,Directed,blackout,13,0.7333333333333333,8.826666666666668
C0424109,C0700613,Directed,weepiness,8,0.7,8.959999999999999
C0557075,C0700613,Directed,has religious belief,4,0.6666666666666666,9.013333333333334
C0027769,C0700613,Directed,nervousness,4,0.6333333333333333,8.746666666666666
C0233763,C0700613,Directed,hallucinations visual,10,0.6,8.0
C0016579,C0700613,Directed,formication,4,0.5666666666666667,8.213333333333335
C1299586,C0700613,Directed,difficulty,12,0.5333333333333333,7.306666666666668
C0008031,C0700613,Directed,pain chest,21,0.5,6.32
C0376405,C0700613,Directed,patient non compliance,15,0.4666666666666667,6.533333333333333
C0085631,C0700613,Directed,agitation,21,0.43333333333333335,5.786666666666667
C0030252,C0700613,Directed,palpitation,10,0.4,6.400000000000001
C0233762,C0700613,Directed,hallucinations auditory,15,0.36666666666666664,5.7333333333333325
C0344315,C0700613,Directed,mood depressed,8,0.3333333333333333,6.026666666666667
C0600142,C0700613,Directed,hot flush,2,0.3,6.24
C0030193,C0700613,Directed,pain,44,0.26666666666666666,2.6133333333333337
C0239110,C0700613,Directed,consciousness clear,7,0.23333333333333334,5.3066666666666675
C0028084,C0700613,Directed,nightmare,7,0.2,5.04
C0030193,C0006826,Directed,pain,44,0.9666666666666667,8.213333333333335
C0030193,C1306459,Directed,pain,44,0.9666666666666667,8.213333333333335
C0577559,C0006826,Directed,mass of body structure,20,0.9666666666666667,10.133333333333335
C0577559,C1306459,Directed,mass of body structure,20,0.9666666666666667,10.133333333333335
C0221198,C0006826,Directed,lesion,21,0.9666666666666667,10.053333333333335
C0221198,C1306459,Directed,lesion,21,0.9666666666666667,10.053333333333335
C0332601,C0006826,Directed,cushingoid facies,7,0.9666666666666667,11.173333333333336
C0878661,C0006826,Directed,cushingoid habitus,7,0.9333333333333333,10.906666666666666
C0332601,C1306459,Directed,cushingoid facies,7,0.9666666666666667,11.173333333333336
C0878661,C1306459,Directed,cushingoid habitus,7,0.9333333333333333,10.906666666666666
C0743482,C0006826,Directed,emphysematous change,4,0.9666666666666667,11.413333333333336
C0743482,C1306459,Directed,emphysematous change,4,0.9666666666666667,11.413333333333336
C0043096,C0006826,Directed,decreased body weight,27,0.9666666666666667,9.573333333333334
C0043096,C1306459,Directed,decreased body weight,27,0.9666666666666667,9.573333333333334
C0003962,C0006826,Directed,ascites,12,0.9666666666666667,10.773333333333335
C0003962,C1306459,Directed,ascites,12,0.9666666666666667,10.773333333333335
C0019825,C0006826,Directed,hoarseness,4,0.9666666666666667,11.413333333333336
C0019825,C1306459,Directed,hoarseness,4,0.9666666666666667,11.413333333333336
C0205400,C0006826,Directed,thicken,16,0.9666666666666667,10.453333333333335
C0205400,C1306459,Directed,thicken,16,0.9666666666666667,10.453333333333335
C0018965,C0006826,Directed,hematuria,8,0.9666666666666667,11.093333333333335
C0018965,C1306459,Directed,hematuria,8,0.9666666666666667,11.093333333333335
C0015967,C0001175,Directed,fever,39,0.9666666666666667,8.613333333333333
C0015967,C0019682,Directed,fever,39,0.9666666666666667,8.613333333333333
C0015967,C0019693,Directed,fever,39,0.9666666666666667,8.613333333333333
C0028081,C0001175,Directed,night sweat,18,0.9666666666666667,10.293333333333335
C0028081,C0019682,Directed,night sweat,18,0.9666666666666667,10.293333333333335
C0028081,C0019693,Directed,night sweat,18,0.9666666666666667,10.293333333333335
C0233308,C0001175,Directed,spontaneous rupture of membranes,8,0.9666666666666667,11.093333333333335
C0233308,C0019682,Directed,spontaneous rupture of membranes,8,0.9666666666666667,11.093333333333335
C0233308,C0019693,Directed,spontaneous rupture of membranes,8,0.9666666666666667,11.093333333333335
C0010200,C0001175,Directed,cough,25,0.9666666666666667,9.733333333333334
C0010200,C0019682,Directed,cough,25,0.9666666666666667,9.733333333333334
C0010200,C0019693,Directed,cough,25,0.9666666666666667,9.733333333333334
C0032739,C0001175,Directed,,3,0.9666666666666667,11.493333333333332
C0032739,C0019682,Directed,,3,0.9666666666666667,11.493333333333332
C0032739,C0019693,Directed,,3,0.9666666666666667,11.493333333333332
C0043096,C0001175,Directed,decreased body weight,27,0.9666666666666667,9.573333333333334
C0043096,C0019682,Directed,decreased body weight,27,0.9666666666666667,9.573333333333334
