Id,Label,condition
C0002797,Anaplasmosis,disease
C0280788,Anaplastic Ependymoma,disease
C0919691,Anastomotic Leak,disease
C0002831,Ancylostomiasis,disease
C1563715,Andersen Syndrome,disease
C0002871,Anemia,symptom
C1260899,"Anemia, Diamond-Blackfan",disease
C0002878,"Anemia, Hemolytic",disease
C0002881,"Anemia, Hemolytic, Congenital",disease
C0002882,"Anemia, Hemolytic, Congenital Nonspherocytic",disease
C0002886,"Anemia, Macrocytic",disease
C0002888,"Anemia, Megaloblastic",disease
C0002891,"Anemia, Neonatal",disease
C0002892,"Anemia, Pernicious",disease
C0002895,"Anemia, Sickle Cell",disease
C0002897,"Anemia, Splenic",disease
C0002940,Aneurysm,disease
C0085808,"Aneurysm, Mycotic",disease
C0162869,"Aneurysm, Ruptured",disease
C0162635,Angelman Syndrome,disease
C0002962,Angina Pectoris,symptom
C0002963,"Angina Pectoris, Variant",symptom
C0085411,Angiodysplasia,disease
C0002994,Angioedema,symptom
C0019243,"Angioedemas, Hereditary",disease
C0206731,Angiofibroma,disease
C0206260,Angiogranuloma,disease
C0002982,Angioid Streaks,disease
C0020981,Angioimmunoblastic Lymphadenopathy,disease
C0002985,Angiokeratoma,disease
C0206632,Angiolipoma,disease
C0002992,Angiomatosis,disease
C0206633,Angiomyolipoma,disease
C0206653,Angiomyoma,disease
C0017605,Angle Closure Glaucoma,disease
C0085810,Anguilluliasis,disease
C1706004,Anhydrotic Ectodermal Dysplasias,disease
C0003076,Aniridia,disease
C0162576,Anisakiasis,disease
C0003078,Aniseikonia,disease
C0751612,"Anisocoria, Physiologic",symptom
C0003081,Anisometropia,disease
C0085111,Ankle Injuries,disease
C0038013,Ankylosing spondylitis,disease
C0003090,Ankylosis,disease
C0003119,Anophthalmos,disease
C0687707,Anorectal Diseases,disease
C0003125,Anorexia Nervosa,symptom
C0003128,Anovulation,disease
C0995195,Anoxia of brain,disease
C0393953,Anterior Cerebral Circulation Infarction,disease
C0003152,Anterior Compartment Syndrome,disease
C0221069,Anterior Spinal Artery Syndrome,disease
C1720814,Anterior Urethral Stricture,disease
C0042165,Anterior uveitis,disease
C0262564,Anterolateral Myocardial Infarction,disease
C0003164,Anthracosilicosis,disease
C0003165,Anthracosis,disease
C0003175,Anthrax disease,disease
C0403529,Anti-Glomerular Basement Membrane Disease,disease
C2717865,Anti-Neutrophil Cytoplasmic Antibody-Associated Vasculitis,disease
C0600498,"Anticipation, Genetic",disease
C0085278,Antiphospholipid Syndrome,disease
C0233523,Antisocial behavior,disease
C1860042,Antley-Bixler Syndrome with Disordered Steroidogenesis,disease
C0003460,Anuria,symptom
C0003462,Anus Diseases,disease
C0003466,"Anus, Imperforate",disease
C0376280,"Anxiety States, Neurotic",disease
C0700613,Anxiety state,disease
C0003486,Aortic Aneurysm,disease
C0162871,"Aortic Aneurysm, Abdominal",disease
C0741160,"Aortic Aneurysm, Ruptured",disease
C0162872,"Aortic Aneurysm, Thoracic",disease
C0003490,Aortic Arch Syndromes,disease
C0003493,Aortic Diseases,disease
C0003504,Aortic Valve Insufficiency,disease
C0003505,Aortic Valve Prolapse,disease
C0003507,Aortic Valve Stenosis,disease
C0003492,Aortic coarctation,disease
C0003509,Aortitis,disease
C0003510,Aortitis Syndrome,disease
C0003511,"Aortitis, Syphilitic",disease
C0003516,Aortopulmonary Septal Defect,disease
C0001193,Apert syndrome,disease
C0003535,"Aphakia, Postcataract",disease
C5392168,"Aphakic Eye, Traumatic",disease
C0003537,Aphasia,disease
C0454573,"Aphasia, Anterior",symptom
C0454575,"Aphasia, Posterior",symptom
C0234482,"Aphasia, Semantic",symptom
C0003578,Apnea,symptom
C0003615,Appendicitis,disease
C3495144,"Apraxia, Articulatory",symptom
C0234523,"Apraxia, Ideomotor",symptom
C0431349,Aprosencephaly,disease
C0003650,Apudoma,disease
C0003706,Arachnodactyly,disease
C0003708,Arachnoiditis,disease
C0003723,Arbovirus Infections,disease
C0014055,Arbovirus encephalitis,disease
C0003742,Arcus Senilis,disease
C0003782,Argyria,disease
C0003794,Arm Injuries,disease
C0750929,"Arnold-Chiari Malformation, Type I",disease
C0349788,Arrhythmogenic Right Ventricular Dysplasia,disease
C0751851,Arsenic Encephalopathy,disease
C0003824,Arson,disease
C0015697,Arterial Fatty Streak,disease
C1956395,Arterial Thoracic Outlet Syndrome,disease
C0003843,Arterio-Arterial Fistula,disease
C0878486,Arteriolosclerosis,disease
C0003850,Arteriosclerosis,disease
C0003851,Arteriosclerosis Obliterans,disease
C1956223,Arteriovenous Aneurysm,disease
C0003860,Arteritis,disease
C0206604,Arterivirus Infections,disease
C0003862,Arthralgia,symptom
C0003864,Arthritis,symptom
C0971858,"Arthritis, Collagen-Induced",disease
C0003868,"Arthritis, Gouty",disease
C0003869,"Arthritis, Infectious",disease
C0003872,"Arthritis, Psoriatic",disease
C0085435,"Arthritis, Reactive",disease
C0003886,Arthrogryposis,disease
C0022408,Arthropathy,disease
C0003907,Arthus Reaction,disease
C2713319,Arylsulfatase A Deficiency,disease
C0003949,Asbestosis,disease
C0003950,Ascariasis,disease
C0003952,Ascaridiasis,disease
C0003960,Aschoff Bodies,disease
C0003962,Ascites,symptom
C0003969,Ascorbic Acid Deficiency,disease
C0025290,Aseptic Meningitis,disease
C0156372,Asherman Syndrome,disease
C0268225,Aspartylglucosaminuria,disease
C0236792,Asperger Syndrome,disease
C0004030,Aspergillosis,disease
C0004031,"Aspergillosis, Allergic Bronchopulmonary",disease
C0004044,Asphyxia,disease
C0004045,Asphyxia Neonatorum,disease
C0032290,Aspiration Pneumonia,disease
C0234471,Associative aphasia,symptom
C0004095,Asthenopia,disease
C0004096,Asthma,symptom
C1319853,"Asthma, Aspirin-Induced",disease
C3887640,Astrocytosis,disease
C0376550,Astroviridae Infections,disease
C0004135,Ataxia Telangiectasia,disease
C0750937,"Ataxia, Appendicular",symptom
C1563937,Atherogenesis,symptom
C0004158,Athetosis,symptom
C0004161,Athletic Injuries,disease
C0004239,Atrial Flutter,disease
C0033036,Atrial Premature Complexes,disease
C0018817,Atrial Septal Defects,disease
C0004245,Atrioventricular Block,disease
C0333641,Atrophic,disease
C1263846,Attention deficit hyperactivity disorder,disease
C1332347,Atypical Ductal Breast Hyperplasia,disease
C0751776,Atypical Inclusion-Body Disease,disease
C0004303,"Auditory Diseases, Central",disease
C0750942,Auditory Inattention,symptom
C0751257,"Auditory Processing Disorder, Central",symptom
C0004331,Auriculo-Ventricular Dissociation,disease
C0162473,Auriculotemporal Syndrome,disease
C0004352,Autistic Disorder,disease
C0241910,Autoimmune Chronic Hepatitis,disease
C0004364,Autoimmune Diseases,disease
C5671289,Autoimmune Encephalitis,disease
C1846545,Autoimmune Lymphoproliferative Syndrome Type 2B,disease
C0752089,"Autoimmune Myositis, Experimental",disease
C0920350,Autoimmune thyroiditis,disease
C0238015,Autonomic Dysreflexia,disease
C0969687,Autosomal Chromosome Disorders,disease
C0752097,Autosomal Dominant Juvenile Parkinson Disease,symptom
C3494186,Autosomal Hemophilia A,disease
C3661525,Autosomal Recessive Chronic Granulomatous Disease,disease
C0085548,Autosomal Recessive Polycystic Kidney Disease,disease
C0410480,Avascular Necrosis of Femur Head,disease
C0027543,Avascular necrosis of bone,disease
C0004421,Avian Leukosis,disease
C0242528,Azotemia,disease
C0079731,B-Cell Lymphomas,disease
C0004576,Babesiosis,disease
C0034935,Babinski Reflex,symptom
C0085389,Bacillaceae Infections,disease
C0343770,Bacillary Peliosis,disease
C0004601,Back Injuries,disease
C0004610,Bacteremia,disease
C0014121,Bacterial Endocarditis,disease
C0004623,Bacterial Infections,disease
C0085166,Bacterial Vaginosis,disease
C0009768,Bacterial conjunctivitis,disease
C0004659,Bacteriuria,disease
C0085392,Bacteroidaceae Infections,disease
C0004669,Bacteroides Infections,disease
C0004690,Balanitis,disease
C0004692,Balantidiasis,disease
C0004698,Balkan Nephropathy,disease
C0265326,Bannayan-Riley-Ruvalcaba Syndrome,disease
C0752166,Bardet-Biedl Syndrome,disease
C0004760,Barotrauma,disease
C1258085,Barrett Epithelium,disease
C0004775,Bartter Disease,disease
C0751676,Basal Cell Cancer,disease
C0004779,Basal Cell Nevus Syndrome,disease
C0751739,Basal Ganglia Cerebrovascular Disease,disease
C0686715,Baylisascaris procyonis Infection,disease
C0004903,Beckwith-Wiedemann Syndrome,disease
C0004913,Bedbugs,disease
C0270327,Bedwetting,disease
C0278076,Behavioral tic,symptom
C0004943,Behcet Syndrome,disease
C0004945,Bejel,disease
C0393584,Benign Hereditary Chorea,symptom
C2242987,Benign Mastocytoma,disease
C0281784,Benign Meningioma,disease
C0393693,"Benign Neonatal Epilepsy, Nonfamilial",disease
C1456779,Benign Optic Nerve Sheath Neoplasms,disease
C1704272,Benign Prostatic Hyperplasia,disease
C1879828,Benign Teratoma,disease
C0005001,Benign prostatic hypertrophy,disease
C0005122,Beriberi,disease
C0005138,Berylliosis,disease
C0005146,Besnoitiasis,disease
C3665473,Bilateral Deafness,symptom
C2750087,"Bile Acid Malabsorption, Primary",disease
C0005395,Bile Duct Diseases,disease
C0005396,Bile Duct Neoplasms,disease
C0005403,Bile Reflux,disease
C0008309,Bile duct adenoma,disease
C0005416,Biliary Dyskinesia,disease
C0005417,Biliary Fistula,disease
C0750952,Biliary Tract Cancer,disease
C0005424,Biliary Tract Diseases,disease
C0018994,Biliary Tract Hemorrhage,disease
C0023892,Biliary cirrhosis,disease
C0596170,Binge eating disorder,disease
C0220754,Biotinidase Deficiency,disease
C0005586,Bipolar Disorder,symptom
C0206606,Birnaviridae Infections,disease
C0005604,Birth Injuries,disease
C0005681,Blackwater Fever,disease
C0005689,Bladder Exstrophy,disease
C0005695,Bladder Neoplasm,disease
C0005694,Bladder neck obstruction,disease
C0005700,Blast Injuries,disease
C0005699,Blast Phase,disease
C0085313,Blastocystis Infections,disease
C0005741,Blepharitis,disease
C0005744,Blepharophimosis,disease
C0005745,Blepharoptosis,symptom
C0005747,Blepharospasm,symptom
C0005750,Blind Loop Syndrome,disease
C1879328,Blindness both eyes NOS (disorder),symptom
C0858621,"Blindness, Cortical, Transient",symptom
C0021171,Bloch Sulzberger syndrome,disease
C0005779,Blood Coagulation Disorders,disease
C0852077,"Blood Coagulation Disorders, Inherited",disease
C0005806,Blood Group Incompatibility,disease
C0005818,Blood Platelet Disorders,disease
C0005830,Blood Protein Disorders,disease
C0005859,Bloom Syndrome,disease
C0162437,Blow-Out Fractures,disease
C0242645,Blue Toe Syndrome,disease
C0005866,Bluetongue infection,disease
C0005887,Body Dysmorphic Disorders,disease
C0152244,"Bone Cysts, Aneurysmal",disease
C0242699,"Bone Demineralization, Pathologic",disease
C0005940,Bone Diseases,disease
C0005941,"Bone Diseases, Developmental",disease
C0005942,"Bone Diseases, Endocrine",disease
C0005943,"Bone Diseases, Infectious",disease
C0206231,Bone Malalignment,disease
C0005956,Bone Marrow Diseases,disease
C0282609,Bone Marrow Neoplasms,disease
C0005974,Bone Resorption,disease
C4704922,Bone Stress Reaction,disease
C0005967,Bone neoplasms,disease
C1527168,Bonnevie-Ullrich Syndrome,disease
C0006008,Border Disease,disease
C0006012,Borderline Personality Disorder,disease
C0023346,Borderline leprosy,disease
C0006015,Bordetella Infections,disease
C0006023,Borna Disease,disease
C0006035,Borrelia Infections,disease
C0006057,Botulism,disease
C0085916,Bouillaud Disease,disease
C0006060,Boutonneuse Fever,disease
C1449809,Bovine Respiratory Disease Complex,disease
C0006075,Bovine Virus Diarrhea-Mucosal Disease,disease
C0221759,Brachial Plexus Neuritis,disease
C0428977,Bradycardia,symptom
C0233565,Bradykinesia,symptom
C0006105,Brain Abscess,disease
C0006107,Brain Concussion,disease
C0006109,"Brain Damage, Chronic",disease
C0006110,Brain Death,disease
C0006111,Brain Diseases,disease
C0752137,"Brain Diseases, Arterial",disease
C0006112,"Brain Diseases, Metabolic",disease
C0752107,"Brain Diseases, Metabolic, Inherited",disease
C0270611,Brain Injuries,disease
C0751813,"Brain Injury, Chronic",disease
C0007786,Brain Ischemia,disease
C0006118,Brain Neoplasms,disease
C0751802,"Brain Stem Hematoma, Traumatic",disease
C0751886,"Brain Stem Neoplasms, Primary",disease
C0006123,Branch Retinal Artery Occlusion,disease
C0265234,Branchio-Oto-Renal Syndrome,disease
C0006131,Branchioma,disease
C0006145,Breast Diseases,disease
C0242788,"Breast Neoplasms, Male",disease
C0006181,Brill-Zinsser Disease,disease
C0342302,Brittle diabetes,disease
C0006261,Bronchial Diseases,disease
C0006262,Bronchial Fistula,disease
C0085129,Bronchial Hyperreactivity,disease
C0006264,Bronchial Neoplasms,disease
C0006267,Bronchiectasis,disease
C0006271,Bronchiolitis,disease
C0242770,Bronchiolitis Obliterans Organizing Pneumonia,disease
C0006274,"Bronchiolitis, Viral",disease
C0007120,Bronchioloalveolar Adenocarcinoma,disease
C0006277,Bronchitis,disease
C0008677,"Bronchitis, Chronic",disease
C0007121,Bronchogenic Carcinoma,disease
C0264353,Bronchomalacia,disease
C0006285,Bronchopneumonia,disease
C0006287,Bronchopulmonary Dysplasia,disease
C0006288,Bronchopulmonary Sequestration,disease
C0006266,Bronchospasm,disease
C0015263,"Bronchospasm, Exercise-Induced",disease
C0155339,Brown Tendon Sheath Syndrome,disease
C0751693,Brown-Sequard's Paralysis,symptom
C0302363,Brucella abortus infection,disease
C0006309,Brucellosis,disease
C1721096,Brugada ECG Pattern,disease
C0751838,Bruns apraxia of gait,symptom
C0006325,Bruxism,disease
C0856761,Budd-Chiari Syndrome,disease
C1839259,"Bulbo-Spinal Atrophy, X-Linked",disease
C2267227,Bulimia Nervosa,disease
C0005758,Bulla,symptom
C0030805,Bullous pemphigoid,disease
C0006384,Bundle-Branch Block,disease
C0006389,Bunostomiasis,disease
C0282677,Burkholderia Infections,disease
C4721444,Burkitt Leukemia,disease
C0006434,Burn injury,disease
C0006430,Burning Mouth Syndrome,disease
C0006436,"Burns, Electric",disease
C0006437,"Burns, Inhalation",disease
C0085568,Buruli Ulcer,disease
C0006542,Byssinosis,disease
C0751587,CADASIL Syndrome,disease
C0007682,CNS disorder,disease
C1527226,CRST syndrome,disease
C0006635,Cadmium poisoning,disease
C0221263,Cafe-au-Lait Spots,symptom
C0006663,Calcinosis,disease
C0006666,Calciphylaxis,disease
C0006705,Calcium Metabolism Disorders,disease
C0553730,Calcium pyrophosphate deposition disease,disease
C0006736,Calculi,disease
C5392973,Callous-Unemotional Traits,disease
C0006818,Campylobacter infection,disease
C0011989,Camurati-Engelmann Syndrome,disease
C0751075,Cancer of Digestive System,disease
C0751394,Cancer of Nose,disease
C0751571,Cancer of Urinary Tract,disease
C0006840,Candidiasis,disease
C0006852,Candidiasis of vagina,disease
C0006845,"Candidiasis, Chronic Mucocutaneous",symptom
C0205740,Canine Distemper,disease
C0006868,Cannabis Abuse,disease
C0006895,Capgras Syndrome,disease
C0006897,Capillariasis,disease
C0343084,Capillary Leak Syndrome,disease
C0752153,"Capillary Telangiectasia, Brain",disease
C0751753,Carbamoyl-Phosphate Synthase I Deficiency Disease,disease
C0007001,"Carbohydrate Metabolism, Inborn Errors",disease
C0007020,Carbon Monoxide Poisoning,disease
C0007093,Carcinoid Heart Disease,disease
C0007095,Carcinoid Tumor,disease
C0007097,Carcinoma,disease
C0007098,"Carcinoma 256, Walker",disease
C1704374,Carcinoma of Endocrine Gland,disease
C0007118,"Carcinoma, Basosquamous",disease
C0007122,"Carcinoma, Brown-Pearce",disease
C0007125,"Carcinoma, Ehrlich Tumor",disease
C0206687,"Carcinoma, Endometrioid",disease
C0206703,"Carcinoma, Giant Cell",disease
C0007128,"Carcinoma, Krebs 2",disease
C0206704,"Carcinoma, Large Cell",disease
C0243038,"Carcinoma, Lewis Lung",disease
C0206692,"Carcinoma, Lobular",disease
C0206695,"Carcinoma, Neuroendocrine",disease
C0887833,"Carcinoma, Pancreatic Ductal",disease
C0007133,"Carcinoma, Papillary",disease
C0206696,"Carcinoma, Signet Ring Cell",disease
C0206697,"Carcinoma, Skin Appendage",disease
C0262584,"Carcinoma, Small Cell",disease
C0007138,"Carcinoma, Transitional Cell",disease
C0346990,Carcinomatosis of peritoneal cavity,disease
C0007140,Carcinosarcoma,disease
C0018790,Cardiac Arrest,symptom
C0003811,Cardiac Arrhythmia,symptom
C1959584,Cardiac Carcinoma,disease
C0376297,Cardiac Death,disease
C1383860,Cardiac Hypertrophy,disease
C0085128,"Cardiac Output, High",symptom
C0007177,Cardiac Tamponade,disease
C0878544,Cardiomyopathies,disease
C0007192,"Cardiomyopathy, Alcoholic",disease
C1449563,"Cardiomyopathy, Familial Idiopathic",disease
C0949658,"Cardiomyopathy, Hypertrophic, Familial",disease
C0243050,Cardiovascular Abnormalities,disease
C0007222,Cardiovascular Diseases,disease
C0206617,Cardiovirus Infections,disease
C1707305,Carious Dentin,disease
C0162510,Caroli Disease,disease
C0007273,Carotid Artery Diseases,disease
C0751815,"Carotid Artery, Internal, Dissection",disease
C0007279,Carotid Body Paraganglioma,disease
C0751816,Carotid Pseudoaneurysm,disease
C0007282,Carotid Stenosis,disease
C0007286,Carpal Tunnel Syndrome,disease
C0220748,Cartilage-hair hypoplasia,disease
C0029423,Cartilaginous exostosis,disease
C0007361,Cat-Scratch Disease,disease
C0007384,Cataplexy,symptom
C0086543,Cataract,disease
C0007397,Catastrophic Illness,disease
C0007398,Catatonia,symptom
C0860239,Catheter related infection,disease
C0007462,Causalgia,disease
C2919945,Cavernous Hemangioma of Brain,disease
C0270638,Cavernous Sinus Thrombophlebitis,disease
C0205828,Cavernous lymphangioma,disease
C0007527,Cecal Diseases,disease
C0007528,Cecal Neoplasms,disease
C0007570,Celiac Disease,disease
C0007622,"Cell Transformation, Viral",disease
C0334448,Cellular Blue Nevus,disease
C0007642,Cellulitis,disease
C0007659,Cementoma,disease
C0560651,Central Cord Syndrome,disease
C0751951,Central Core Myopathy (disorder),disease
C0687720,Central Diabetes Insipidus,disease
C0752180,Central Nervous System Bacterial Infections,disease
C5235044,Central Nervous System Cysticercosis,disease
C0729544,Central Nervous System Fungal Infections,disease
C0007684,Central Nervous System Infection,disease
C0751620,"Central Nervous System Neoplasms, Primary",disease
C0155503,Central Nervous System Origin Vertigo,symptom
C0752181,Central Nervous System Parasitic Infections,disease
C0752182,Central Nervous System Protozoal Infections,disease
C0348165,Central Nervous System Viral Diseases,disease
C0730328,Central Serous Chorioretinopathy,disease
C0154841,Central retinal vein occlusion,disease
C0221227,Centriacinar Emphysema,disease
C0175709,Centronuclear myopathy,disease
C0085988,Cephalopelvic Disproportion,disease
C0007758,Cerebellar Ataxia,symptom
C0393519,"Cerebellar Ataxia, Early Onset",disease
C0007760,Cerebellar Diseases,disease
C0751798,"Cerebellar Hemorrhage, Traumatic",disease
C0007762,Cerebellar Neoplasms,disease
C0085220,Cerebral Amyloid Angiopathy,disease
C0917996,Cerebral Aneurysm,disease
C0007774,Cerebral Arterial Diseases,disease
C0877854,Cerebral Arteriosclerosis,disease
C0006114,Cerebral Edema,disease
C0007780,Cerebral Embolism,disease
