Source,Target,Type,Id,Label,Weight
C0001486,C0015967,Directed,C0001486_C0015967,Edge from Adenovirus infection to Fever,1
C0001486,C0031350,Directed,C0001486_C0031350,Edge from Adenovirus infection to Pharyngitis,1
C0001486,C0085636,Directed,C0001486_C0085636,Edge from Adenovirus infection to Photophobia,1
C0001486,C0086525,Directed,C0001486_C0086525,Edge from Adenovirus infection to Fatigue,1
C0268126,C0025958,Directed,C0268126_C0025958,Edge from Adenylosuccinate lyase deficiency to Microcephaly,1
C0027333,C0233407,Directed,C0027333_C0233407,Edge from African trypanosomiasis to Confusion,1
C0027333,C0003862,Directed,C0027333_C0003862,Edge from African trypanosomiasis to Arthralgia,1
C0027333,C0541798,Directed,C0027333_C0541798,Edge from African trypanosomiasis to Insomnia,1
C0027333,C0750937,Directed,C0027333_C0750937,Edge from African trypanosomiasis to Ataxia,1
C0001818,C0027769,Directed,C0001818_C0027769,Edge from Agoraphobia to Anxiety,1
C0001818,C0086769,Directed,C0001818_C0086769,Edge from Agoraphobia to Panic disorder,1
C0013926,C0155503,Directed,C0013926_C0155503,Edge from Air embolism to Vertigo,1
C0013926,C0220870,Directed,C0013926_C0220870,Edge from Air embolism to Dizziness,1
C0013926,C0020649,Directed,C0013926_C0020649,Edge from Air embolism to Hypotension,1
C0013926,C0877781,Directed,C0013926_C0877781,Edge from Air embolism to Headache,1
C0001956,C0541798,Directed,C0001956_C0541798,Edge from Alcohol abuse to Insomnia,1
C0001956,C0086525,Directed,C0001956_C0086525,Edge from Alcohol abuse to Fatigue,1
C0001969,C0042963,Directed,C0001969_C0042963,Edge from Alcohol intoxication to Vomiting,1
C0001969,C0860634,Directed,C0001969_C0860634,Edge from Alcohol intoxication to Coma,1
C0001969,C0750937,Directed,C0001969_C0750937,Edge from Alcohol intoxication to Ataxia,1
C0001969,C3203358,Directed,C0001969_C3203358,Edge from Alcohol intoxication to Hypoventilation,1
C0001969,C0454596,Directed,C0001969_C0454596,Edge from Alcohol intoxication to Dysarthria,1
C1527304,C0022577,Directed,C1527304_C0022577,Edge from Allergy to Allergic conjunctivitis,1
C1527304,C0010200,Directed,C1527304_C0010200,Edge from Allergy to Cough,1
C1527304,C0013604,Directed,C1527304_C0013604,Edge from Allergy to Edema,1
C1527304,C0085619,Directed,C1527304_C0085619,Edge from Allergy to Shortness of breath,1
C0002171,C0002170,Directed,C0002171_C0002170,Edge from Alopecia areata to Hair loss,1
C0221757,C0242183,Directed,C0221757_C0242183,Edge from Alpha-1 antitrypsin deficiency to Jaundice,1
C0221757,C0085619,Directed,C0221757_C0085619,Edge from Alpha-1 antitrypsin deficiency to Shortness of breath,1
C0002312,C0242183,Directed,C0002312_C0242183,Edge from Alpha-thalassemia to Jaundice,1
C3887755,C0220870,Directed,C3887755_C0220870,Edge from Altitude sickness to Dizziness,1
C3887755,C0042963,Directed,C3887755_C0042963,Edge from Altitude sickness to Vomiting,1
C3887755,C0541798,Directed,C3887755_C0541798,Edge from Altitude sickness to Insomnia,1
C3887755,C0877781,Directed,C3887755_C0877781,Edge from Altitude sickness to Headache,1
C3887755,C0086525,Directed,C3887755_C0086525,Edge from Altitude sickness to Fatigue,1
C0002395,C0002622,Directed,C0002395_C0002622,Edge from Alzheimer's disease to Amnesia,1
C0002395,C0282513,Directed,C0002395_C0282513,Edge from Alzheimer's disease to Primary progressive aphasia,1
C0002438,C0000737,Directed,C0002438_C0000737,Edge from Amoebiasis to Abdominal pain,1
C0002438,C0013369,Directed,C0002438_C0013369,Edge from Amoebiasis to Dysentery,1
C0002736,C0340194,Directed,C0002736_C0340194,Edge from Amyotrophic lateral sclerosis to Respiratory failure,1
C0002736,C0541957,Directed,C0002736_C0541957,Edge from Amyotrophic lateral sclerosis to Fasciculation,1
C0002736,C0085619,Directed,C0002736_C0085619,Edge from Amyotrophic lateral sclerosis to Shortness of breath,1
C0002736,C0026838,Directed,C0002736_C0026838,Edge from Amyotrophic lateral sclerosis to Spasticity,1
C0002736,C0454596,Directed,C0002736_C0454596,Edge from Amyotrophic lateral sclerosis to Dysarthria,1
C0002736,C0011168,Directed,C0002736_C0011168,Edge from Amyotrophic lateral sclerosis to Dysphagia,1
C0002792,C0020649,Directed,C0002792_C0020649,Edge from Anaphylaxis to Hypotension,1
C0002792,C0085619,Directed,C0002792_C0085619,Edge from Anaphylaxis to Shortness of breath,1
C1563715,C0003811,Directed,C1563715_C0003811,Edge from Andersen–Tawil syndrome to Arrhythmia,1
C0002871,C0151786,Directed,C0002871_C0151786,Edge from Anemia to Muscle weakness,1
C0002871,C0700200,Directed,C0002871_C0700200,Edge from Anemia to Lightheadedness,1
C0002871,C0085619,Directed,C0002871_C0085619,Edge from Anemia to Shortness of breath,1
C0002871,C0030232,Directed,C0002871_C0030232,Edge from Anemia to Pallor,1
C0002871,C0086525,Directed,C0002871_C0086525,Edge from Anemia to Fatigue,1
C0162635,C0917816,Directed,C0162635_C0917816,Edge from Angelman syndrome to Intellectual disability,1
C0162635,C0025958,Directed,C0162635_C0025958,Edge from Angelman syndrome to Microcephaly,1
C0007971,C0041834,Directed,C0007971_C0041834,Edge from Angular cheilitis to Erythema,1
C0038013,C0750949,Directed,C0038013_C0750949,Edge from Ankylosing spondylitis to Back pain,1
C0003125,C0041667,Directed,C0003125_C0041667,Edge from Anorexia nervosa to Underweight,1
C0003175,C0000833,Directed,C0003175_C0000833,Edge from Anthrax to Abscess,1
C0003175,C0085619,Directed,C0003175_C0085619,Edge from Anthrax to Shortness of breath,1
C0376280,C0080203,Directed,C0376280_C0080203,Edge from Anxiety disorder to Tachycardia,1
C0086789,C0024228,Directed,C0086789_C0024228,Edge from Aphthous stomatitis to Lymphadenopathy,1
C0086789,C0015967,Directed,C0086789_C0015967,Edge from Aphthous stomatitis to Fever,1
C0178416,C0220870,Directed,C0178416_C0220870,Edge from Aplastic anemia to Dizziness,1
C0178416,C0080203,Directed,C0178416_C0080203,Edge from Aplastic anemia to Tachycardia,1
C0178416,C0015230,Directed,C0178416_C0015230,Edge from Aplastic anemia to Rash,1
C0178416,C0009450,Directed,C0178416_C0009450,Edge from Aplastic anemia to Infection,1
C0178416,C0877781,Directed,C0178416_C0877781,Edge from Aplastic anemia to Headache,1
C0178416,C0030232,Directed,C0178416_C0030232,Edge from Aplastic anemia to Pallor,1
C0178416,C0086525,Directed,C0178416_C0086525,Edge from Aplastic anemia to Fatigue,1
C0496779,C0003123,Directed,C0496779_C0003123,Edge from Appendix cancer to Anorexia (symptom),1
C0496779,C0085619,Directed,C0496779_C0085619,Edge from Appendix cancer to Shortness of breath,1
C0263334,C0042109,Directed,C0263334_C0042109,Edge from Aquagenic urticaria to Hives,1
C0003811,C0700200,Directed,C0003811_C0700200,Edge from Arrhythmia to Lightheadedness,1
C0003811,C0008031,Directed,C0003811_C0008031,Edge from Arrhythmia to Chest pain,1
C0003811,C0085619,Directed,C0003811_C0085619,Edge from Arrhythmia to Shortness of breath,1
C0751851,C0162834,Directed,C0751851_C0162834,Edge from Arsenic poisoning to Hyperpigmentation,1
C0751851,C0042963,Directed,C0751851_C0042963,Edge from Arsenic poisoning to Vomiting,1
C0751851,C0000737,Directed,C0751851_C0000737,Edge from Arsenic poisoning to Abdominal pain,1
C0751851,C0027651,Directed,C0751851_C0027651,Edge from Arsenic poisoning to Neoplasm,1
C0751851,C0011991,Directed,C0751851_C0011991,Edge from Arsenic poisoning to Diarrhea,1
C0003864,C0003862,Directed,C0003864_C0003862,Edge from Arthritis to Arthralgia,1
C0003950,C0011991,Directed,C0003950_C0011991,Edge from Ascariasis to Diarrhea,1
C0003950,C0085619,Directed,C0003950_C0085619,Edge from Ascariasis to Shortness of breath,1
C0003962,C0085619,Directed,C0003962_C0085619,Edge from Ascites to Shortness of breath,1
C0032290,C0010200,Directed,C0032290_C0010200,Edge from Aspiration pneumonia to Cough,1
C0032290,C0015967,Directed,C0032290_C0015967,Edge from Aspiration pneumonia to Fever,1
C0040259,C0033774,Directed,C0040259_C0033774,Edge from Athlete's foot to Itch,1
C0521802,C0002871,Directed,C0521802_C0002871,Edge from Atransferrinemia to Anemia,1
C3468561,C0700200,Directed,C3468561_C0700200,Edge from Atrial fibrillation to Lightheadedness,1
C3468561,C0002962,Directed,C3468561_C0002962,Edge from Atrial fibrillation to Angina,1
C3468561,C0085619,Directed,C3468561_C0085619,Edge from Atrial fibrillation to Shortness of breath,1
C0004364,C0015967,Directed,C0004364_C0015967,Edge from Autoimmune disease to Fever,1
C0004364,C0086525,Directed,C0004364_C0086525,Edge from Autoimmune disease to Fatigue,1
C0241910,C0027497,Directed,C0241910_C0027497,Edge from Autoimmune hepatitis to Nausea,1
C0241910,C0015230,Directed,C0241910_C0015230,Edge from Autoimmune hepatitis to Rash,1
C0241910,C0003125,Directed,C0241910_C0003125,Edge from Autoimmune hepatitis to Anorexia nervosa,1
C0241910,C0003862,Directed,C0241910_C0003862,Edge from Autoimmune hepatitis to Arthralgia,1
C0241910,C0242183,Directed,C0241910_C0242183,Edge from Autoimmune hepatitis to Jaundice,1
C0241910,C0086525,Directed,C0241910_C0086525,Edge from Autoimmune hepatitis to Fatigue,1
C0085859,C0006845,Directed,C0085859_C0006845,Edge from Autoimmune polyendocrine syndrome type 1 to Chronic mucocutaneous candidiasis,1
C0085548,C0032617,Directed,C0085548_C0032617,Edge from Autosomal recessive polycystic kidney disease to Polyuria,1
C0027543,C0003862,Directed,C0027543_C0003862,Edge from Avascular necrosis to Arthralgia,1
C0004576,C0085593,Directed,C0004576_C0085593,Edge from Babesiosis to Chills,1
C0004576,C0015967,Directed,C0004576_C0015967,Edge from Babesiosis to Fever,1
C0085166,C0227791,Directed,C0085166_C0227791,Edge from Bacterial vaginosis to Vaginal discharge,1
C0085166,C0013428,Directed,C0085166_C0013428,Edge from Bacterial vaginosis to Dysuria,1
C0265326,C0221355,Directed,C0265326_C0221355,Edge from Bannayan–Riley–Ruvalcaba syndrome to Macrocephaly,1
C4721806,C1138421,Directed,C4721806_C1138421,Edge from Basal-cell carcinoma to Telangiectasia,1
C0004913,C0005758,Directed,C0004913_C0005758,Edge from Bed bug to Blister,1
C0004913,C0033774,Directed,C0004913_C0033774,Edge from Bed bug to Itch,1
C0004943,C0003864,Directed,C0004943_C0003864,Edge from Behçet's disease to Arthritis,1
C0004943,C0086789,Directed,C0004943_C0086789,Edge from Behçet's disease to Aphthous stomatitis,1
C0004943,C0086525,Directed,C0004943_C0086525,Edge from Behçet's disease to Fatigue,1
C0155503,C0155503,Directed,C0155503_C0155503,Edge from Vertigo to Vertigo,1
C1704272,C0080274,Directed,C1704272_C0080274,Edge from Benign prostatic hyperplasia to Urinary retention,1
C1704272,C0042024,Directed,C1704272_C0042024,Edge from Benign prostatic hyperplasia to Urinary incontinence,1
C4048196,C1384666,Directed,C4048196_C1384666,Edge from Beta-mannosidosis to Hearing loss,1
C2750087,C0011991,Directed,C2750087_C0011991,Edge from Bile acid malabsorption to Diarrhea,1
C0023464,C0002871,Directed,C0023464_C0002871,Edge from Biphenotypic acute leukaemia to Anemia,1
C0023464,C0024228,Directed,C0023464_C0024228,Edge from Biphenotypic acute leukaemia to Lymphadenopathy,1
C0005586,C0086132,Directed,C0005586_C0086132,Edge from Bipolar disorder to Depression (mood),1
C0031903,C0003125,Directed,C0031903_C0003125,Edge from Bird fancier's lung to Anorexia nervosa,1
C0031903,C0008031,Directed,C0031903_C0008031,Edge from Bird fancier's lung to Chest pain,1
C0031903,C0010200,Directed,C0031903_C0010200,Edge from Bird fancier's lung to Cough,1
C0031903,C0015967,Directed,C0031903_C0015967,Edge from Bird fancier's lung to Fever,1
C0031903,C0085619,Directed,C0031903_C0085619,Edge from Bird fancier's lung to Shortness of breath,1
C0031903,C0086525,Directed,C0031903_C0086525,Edge from Bird fancier's lung to Fatigue,1
C0027612,C0085996,Directed,C0027612_C0085996,Edge from Birth defect to Developmental disability,1
C0027612,C0917816,Directed,C0027612_C0917816,Edge from Birth defect to Intellectual disability,1
C0005695,C0013428,Directed,C0005695_C0013428,Edge from Bladder cancer to Dysuria,1
C0005695,C0018965,Directed,C0005695_C0018965,Edge from Bladder cancer to Hematuria,1
C0005683,C0458257,Directed,C0005683_C0458257,Edge from Bladder stone to Pain,1
C0005967,C0027497,Directed,C0005967_C0027497,Edge from Bone tumor to Nausea,1
C0005967,C0002871,Directed,C0005967_C0002871,Edge from Bone tumor to Anemia,1
C0005967,C0458257,Directed,C0005967_C0458257,Edge from Bone tumor to Pain,1
C0005967,C0015967,Directed,C0005967_C0015967,Edge from Bone tumor to Fever,1
C0005967,C0086525,Directed,C0005967_C0086525,Edge from Bone tumor to Fatigue,1
C0006012,C0085271,Directed,C0006012_C0085271,Edge from Borderline personality disorder to Self-harm,1
C0032238,C0015967,Directed,C0032238_C0015967,Edge from Bornholm disease to Fever,1
C0006057,C0086525,Directed,C0006057_C0086525,Edge from Botulism to Fatigue,1
C0021843,C0042963,Directed,C0021843_C0042963,Edge from Bowel obstruction to Vomiting,1
C0021843,C0000737,Directed,C0021843_C0000737,Edge from Bowel obstruction to Abdominal pain,1
C0021843,C0016204,Directed,C0021843_C0016204,Edge from Bowel obstruction to Flatulence,1
C0006118,C0042963,Directed,C0006118_C0042963,Edge from Brain tumor to Vomiting,1
C0006118,C3495874,Directed,C0006118_C3495874,Edge from Brain tumor to Seizure,1
C0006118,C0877781,Directed,C0006118_C0877781,Edge from Brain tumor to Headache,1
C0006267,C0008031,Directed,C0006267_C0008031,Edge from Bronchiectasis to Chest pain,1
C0006267,C0085619,Directed,C0006267_C0085619,Edge from Bronchiectasis to Shortness of breath,1
C0006271,C0010200,Directed,C0006271_C0010200,Edge from Bronchiolitis to Cough,1
C0006271,C0015967,Directed,C0006271_C0015967,Edge from Bronchiolitis to Fever,1
C2350875,C0085619,Directed,C2350875_C0085619,Edge from Bronchiolitis obliterans to Shortness of breath,1
C2350875,C0086525,Directed,C2350875_C0086525,Edge from Bronchiolitis obliterans to Fatigue,1
C0006309,C0003862,Directed,C0006309_C0003862,Edge from Brucellosis to Arthralgia,1
C0006309,C0015967,Directed,C0006309_C0015967,Edge from Brucellosis to Fever,1
C1721096,C0700200,Directed,C1721096_C0700200,Edge from Brugada syndrome to Lightheadedness,1
C1721096,C0018790,Directed,C1721096_C0018790,Edge from Brugada syndrome to Cardiac arrest,1
C0393540,C0013132,Directed,C0393540_C0013132,Edge from Bulbar palsy to Drooling,1
C0393540,C0454596,Directed,C0393540_C0454596,Edge from Bulbar palsy to Dysarthria,1
C0393540,C0011168,Directed,C0393540_C0011168,Edge from Bulbar palsy to Dysphagia,1
C0393540,C0026846,Directed,C0393540_C0026846,Edge from Bulbar palsy to Muscle atrophy,1
C0006434,C0458257,Directed,C0006434_C0458257,Edge from Burn to Pain,1
C0006434,C0005758,Directed,C0006434_C0005758,Edge from Burn to Blister,1
C0085568,C0037299,Directed,C0085568_C0037299,Edge from Buruli ulcer to Ulcer (dermatology),1
C0265514,C0029455,Directed,C0265514_C0029455,Edge from Buschke–Ollendorff syndrome to Osteopoikilosis,1
C0029944,C0042963,Directed,C0029944_C0042963,Edge from Calcium channel blocker toxicity to Vomiting,1
C0029944,C0428977,Directed,C0029944_C0428977,Edge from Calcium channel blocker toxicity to Bradycardia,1
C0029944,C0020649,Directed,C0029944_C0020649,Edge from Calcium channel blocker toxicity to Hypotension,1
C0006818,C0000737,Directed,C0006818_C0000737,Edge from Campylobacteriosis to Abdominal pain,1
C0006818,C0011991,Directed,C0006818_C0011991,Edge from Campylobacteriosis to Diarrhea,1
C0006818,C0015967,Directed,C0006818_C0015967,Edge from Campylobacteriosis to Fever,1
C0343084,C0009492,Directed,C0343084_C0009492,Edge from Capillary leak syndrome to Compartment syndrome,1
C0343084,C0020649,Directed,C0343084_C0020649,Edge from Capillary leak syndrome to Hypotension,1
C0343084,C0239981,Directed,C0343084_C0239981,Edge from Capillary leak syndrome to Hypoalbuminemia,1
C0343084,C0013604,Directed,C0343084_C0013604,Edge from Capillary leak syndrome to Edema,1
C0007020,C0233407,Directed,C0007020_C0233407,Edge from Carbon monoxide poisoning to Confusion,1
C0007020,C0220870,Directed,C0007020_C0220870,Edge from Carbon monoxide poisoning to Dizziness,1
C0007020,C0008031,Directed,C0007020_C0008031,Edge from Carbon monoxide poisoning to Chest pain,1
C0007020,C0877781,Directed,C0007020_C0877781,Edge from Carbon monoxide poisoning to Headache,1
C0007177,C0700200,Directed,C0007177_C0700200,Edge from Cardiac tamponade to Lightheadedness,1
C0007177,C0085619,Directed,C0007177_C0085619,Edge from Cardiac tamponade to Shortness of breath,1
C0036980,C0080203,Directed,C0036980_C0080203,Edge from Cardiogenic shock to Tachycardia,1
C0036980,C0038990,Directed,C0036980_C0038990,Edge from Cardiogenic shock to Perspiration,1
C0036980,C0020649,Directed,C0036980_C0020649,Edge from Cardiogenic shock to Hypotension,1
C0036980,C0085619,Directed,C0036980_C0085619,Edge from Cardiogenic shock to Shortness of breath,1
C0036980,C0086525,Directed,C0036980_C0086525,Edge from Cardiogenic shock to Fatigue,1
C0007222,C0008031,Directed,C0007222_C0008031,Edge from Cardiovascular disease to Chest pain,1
C0007222,C0085619,Directed,C0007222_C0085619,Edge from Cardiovascular disease to Shortness of breath,1
C0007222,C0086525,Directed,C0007222_C0086525,Edge from Cardiovascular disease to Fatigue,1
C0007286,C0392699,Directed,C0007286_C0392699,Edge from Carpal tunnel syndrome to Paresthesia,1
C0220748,C0027947,Directed,C0220748_C0027947,Edge from Cartilage–hair hypoplasia to Neutropenia,1
C2677794,C0700200,Directed,C2677794_C0700200,Edge from Catecholaminergic polymorphic ventricular tachycardia to Lightheadedness,1
C2677794,C0018790,Directed,C2677794_C0018790,Edge from Catecholaminergic polymorphic ventricular tachycardia to Cardiac arrest,1
C0031557,C0015967,Directed,C0031557_C0015967,Edge from Cellulitis to Fever,1
C0394003,C0751564,Directed,C0394003_C0751564,Edge from Cerebral palsy to Tremor,1
C0394003,C0026838,Directed,C0394003_C0026838,Edge from Cerebral palsy to Spasticity,1
C0007873,C0030794,Directed,C0007873_C0030794,Edge from Cervical cancer to Pelvic pain,1
C0007933,C0010709,Directed,C0007933_C0010709,Edge from Chalazion to Cyst,1
C1720983,C0700200,Directed,C1720983_C0700200,Edge from Channelopathy to Lightheadedness,1
C1720983,C0151786,Directed,C1720983_C0151786,Edge from Channelopathy to Muscle weakness,1
C1720983,C3495874,Directed,C1720983_C3495874,Edge from Channelopathy to Seizure,1
C1720983,C0085619,Directed,C1720983_C0085619,Edge from Channelopathy to Shortness of breath,1
C0270911,C0158461,Directed,C0270911_C0158461,Edge from Charcot–Marie–Tooth disease to Hammer toe,1
C0270911,C0026846,Directed,C0270911_C0026846,Edge from Charcot–Marie–Tooth disease to Muscle atrophy,1
C0006435,C0162834,Directed,C0006435_C0162834,Edge from Chemical burn to Hyperpigmentation,1
C0006435,C0033774,Directed,C0006435_C0033774,Edge from Chemical burn to Itch,1
C0006435,C0019079,Directed,C0006435_C0019079,Edge from Chemical burn to Hemoptysis,1
C0006435,C0085619,Directed,C0006435_C0085619,Edge from Chemical burn to Shortness of breath,1
C0006435,C0030232,Directed,C0006435_C0030232,Edge from Chemical burn to Pallor,1
C0008031,C0458257,Directed,C0008031_C0458257,Edge from Chest pain to Pain,1
C0919833,C0003862,Directed,C0919833_C0003862,Edge from Chikungunya to Arthralgia,1
C0919833,C0015967,Directed,C0919833_C0015967,Edge from Chikungunya to Fever,1
C0267494,C0000737,Directed,C0267494_C0000737,Edge from Chilaiditi syndrome to Abdominal pain,1
C0267494,C0085619,Directed,C0267494_C0085619,Edge from Chilaiditi syndrome to Shortness of breath,1
C0008149,C0227791,Directed,C0008149_C0227791,Edge from Chlamydia to Vaginal discharge,1
C0008149,C0013428,Directed,C0008149_C0013428,Edge from Chlamydia to Dysuria,1
C0014012,C0042963,Directed,C0014012_C0042963,Edge from Cholecystitis to Vomiting,1
C0014012,C0000737,Directed,C0014012_C0000737,Edge from Cholecystitis to Abdominal pain,1
C0014012,C0015967,Directed,C0014012_C0015967,Edge from Cholecystitis to Fever,1
C0008354,C0042963,Directed,C0008354_C0042963,Edge from Cholera to Vomiting,1
C0008354,C0026821,Directed,C0008354_C0026821,Edge from Cholera to Cramp,1
C0008354,C0011991,Directed,C0008354_C0011991,Edge from Cholera to Diarrhea,1
C0015674,C0086525,Directed,C0015674_C0086525,Edge from Chronic fatigue syndrome to Fatigue,1
C0022661,C0233407,Directed,C0022661_C0233407,Edge from Chronic kidney disease to Confusion,1
C0022661,C0042963,Directed,C0022661_C0042963,Edge from Chronic kidney disease to Vomiting,1
C0022661,C0013604,Directed,C0022661_C0013604,Edge from Chronic kidney disease to Edema,1
C0023434,C0015967,Directed,C0023434_C0015967,Edge from Chronic lymphocytic leukemia to Fever,1
C0019621,C0011848,Directed,C0019621_C0011848,Edge from Chronic multifocal Langerhans cell histiocytosis to Diabetes insipidus,1
C0019621,C0015300,Directed,C0019621_C0015300,Edge from Chronic multifocal Langerhans cell histiocytosis to Exophthalmos,1
C0019621,C0029882,Directed,C0019621_C0029882,Edge from Chronic multifocal Langerhans cell histiocytosis to Otitis media,1
C0023890,C0003962,Directed,C0023890_C0003962,Edge from Cirrhosis to Ascites,1
C0023890,C0242183,Directed,C0023890_C0242183,Edge from Cirrhosis to Jaundice,1
C0023890,C0033774,Directed,C0023890_C0033774,Edge from Cirrhosis to Itch,1
C0023890,C0086525,Directed,C0023890_C0086525,Edge from Cirrhosis to Fatigue,1
C0393739,C0877781,Directed,C0393739_C0877781,Edge from Cluster headache to Headache,1
C0007570,C1257861,Directed,C0007570_C1257861,Edge from Coeliac disease to Constipation,1
C0007570,C0024523,Directed,C0007570_C0024523,Edge from Coeliac disease to Malabsorption,1
C0007570,C0011608,Directed,C0007570_C0011608,Edge from Coeliac disease to Dermatitis herpetiformis,1
C0007570,C0011991,Directed,C0007570_C0011991,Edge from Coeliac disease to Diarrhea,1
C0086066,C0031350,Directed,C0086066_C0031350,Edge from Common cold to Pharyngitis,1
C0086066,C0010200,Directed,C0086066_C0010200,Edge from Common cold to Cough,1
C0086066,C0015967,Directed,C0086066_C0015967,Edge from Common cold to Fever,1
C0009492,C0030232,Directed,C0009492_C0030232,Edge from Compartment syndrome to Pallor,1
C0006107,C0877781,Directed,C0006107_C0877781,Edge from Concussion to Headache,1
C1306589,C0151786,Directed,C1306589_C0151786,Edge from Congenital dyserythropoietic anemia to Muscle weakness,1
C0221032,C0017547,Directed,C0221032_C0017547,Edge from Congenital generalized lipodystrophy to Gigantism,1
C0221032,C0001206,Directed,C0221032_C0001206,Edge from Congenital generalized lipodystrophy to Acromegaly,1
C0018798,C0010520,Directed,C0018798_C0010520,Edge from Congenital heart defect to Cyanosis,1
C0031876,C0086525,Directed,C0031876_C0086525,Edge from Constrictive pericarditis to Fatigue,1
C0009946,C0700200,Directed,C0009946_C0700200,Edge from Conversion disorder to Lightheadedness,1
C0009946,C0151786,Directed,C0009946_C0151786,Edge from Conversion disorder to Muscle weakness,1
C0009946,C0234544,Directed,C0009946_C0234544,Edge from Conversion disorder to Paralysis,1
C0009946,C0751564,Directed,C0009946_C0751564,Edge from Conversion disorder to Tremor,1
C0009946,C0011168,Directed,C0009946_C0011168,Edge from Conversion disorder to Dysphagia,1
C3495874,C0235229,Directed,C3495874_C0235229,Edge from Seizure to Spasm,1
C1956346,C0008031,Directed,C1956346_C0008031,Edge from Coronary artery disease to Chest pain,1
C1956346,C0085619,Directed,C1956346_C0085619,Edge from Coronary artery disease to Shortness of breath,1
C0949272,C0000737,Directed,C0949272_C0000737,Edge from Crohn's disease to Abdominal pain,1
C0949272,C0011991,Directed,C0949272_C0011991,Edge from Crohn's disease to Diarrhea,1
C0949272,C0015967,Directed,C0949272_C0015967,Edge from Crohn's disease to Fever,1
C0949272,C0086525,Directed,C0949272_C0086525,Edge from Crohn's disease to Fatigue,1
C2350036,C0015967,Directed,C2350036_C0015967,Edge from Croup to Fever,1
C3888929,C0042963,Directed,C3888929_C0042963,Edge from Cryptococcosis to Vomiting,1
C3888929,C0027497,Directed,C3888929_C0027497,Edge from Cryptococcosis to Nausea,1
C3888929,C0008031,Directed,C3888929_C0008031,Edge from Cryptococcosis to Chest pain,1
C3888929,C0025287,Directed,C3888929_C0025287,Edge from Cryptococcosis to Meningism,1
C3888929,C0010200,Directed,C3888929_C0010200,Edge from Cryptococcosis to Cough,1
