Id,Label,condition
C0002735,Neuromuscular Diseases,disease
C0751865,"Alcohol-Induced Disorders, Nervous System",disease
C0541798,Sleep Initiation and Maintenance Disorders,disease
C0001916,Albinism,disease
C0086543,Cataract,disease
C0848676,"Infertility, Male",disease
C0042341,Varicocele,disease
C0022658,Kidney Diseases,disease
C0020544,"Hypertension, Renal",disease
C0017658,Glomerulonephritis,disease
C0041948,Uremia,disease
C0085215,Primary Ovarian Insufficiency,disease
C0000809,"Abortion, Habitual",disease
C0037188,Sinoatrial Block,disease
C0878544,Cardiomyopathies,disease
C0018790,Heart Arrest,disease
C0151744,Myocardial Ischemia,disease
C1956346,Coronary Artery Disease,disease
C0042373,Vascular Diseases,disease
C1563937,Atherosclerosis,disease
C0020538,Hypertension,disease
C0000772,"Abnormalities, Multiple",disease
C0005859,Bloom Syndrome,disease
C0037268,Skin Abnormalities,disease
C1148551,Dyskeratosis Congenita,disease
C0032339,Rothmund-Thomson Syndrome,disease
C0950123,"Genetic Diseases, Inborn",disease
C0025521,"Metabolism, Inborn Errors",disease
C0740340,"Amyloidosis, Familial",disease
C0033300,Progeria,disease
C0010495,Cutis Laxa,disease
C0043119,Werner Syndrome,disease
C0085110,Severe Combined Immunodeficiency,disease
C0009782,Connective Tissue Diseases,disease
C0009326,Collagen Diseases,disease
C0036421,"Scleroderma, Systemic",disease
C1258104,"Scleroderma, Diffuse",disease
C0178298,Skin Diseases,disease
C0018500,Hair Diseases,disease
C0042900,Vitiligo,disease
C0023787,Lipodystrophy,disease
C1563696,DNA Repair-Deficiency Disorders,disease
C0002152,"Diabetes Mellitus, Experimental",disease
C0011860,"Diabetes Mellitus, Type 2",disease
C1855520,Hyperglycemia,disease
C0920563,Insulin Resistance,disease
C0020473,Hyperlipidemias,disease
C0020557,Hypertriglyceridemia,disease
C0949855,Mitochondrial Diseases,disease
C0042870,Vitamin D Deficiency,disease
C0028754,Obesity,symptom
C0001614,Adrenal Cortex Diseases,disease
C0004364,Autoimmune Diseases,disease
C0086703,Combat Disorders,disease
C4505439,"Stress Disorders, Post-Traumatic",disease
C0029947,Cognition Disorders,disease
C0085996,Developmental Disabilities,disease
C0019270,Hernia,disease
C0011071,"Death, Sudden",disease
C0314657,Genetic Predisposition to Disease,disease
C0919532,Genomic Instability,disease
C3887640,Gliosis,disease
C0018273,Growth Disorders,disease
C5200801,Inflammation,disease
C0022116,Ischemia,disease
C0027686,"Neovascularization, Pathologic",disease
C0027746,Nerve Degeneration,disease
C0236664,Alcohol-Related Disorders,disease
C0001956,Alcoholism,disease
C0004161,Athletic Injuries,disease
C0034530,Radiation Injuries,disease
C0034531,"Radiation Injuries, Experimental",disease
C0004610,Bacteremia,disease
C1135745,"Meningitis, Meningococcal",disease
C1403891,Waterhouse-Friderichsen Syndrome,symptom
C0002797,Anaplasmosis,disease
C0006309,Brucellosis,disease
C0029291,Psittacosis,disease
C0041466,Typhoid Fever,disease
C0079487,Helicobacter Infections,disease
C0025303,Meningococcal Infections,disease
C0041351,Tularemia,disease
C0039128,Syphilis,disease
C1301422,Diphtheria,disease
C0023343,Leprosy,disease
C0041296,Tuberculosis,disease
C0041310,"Tuberculosis, Endocrine",disease
C3179450,"Tuberculosis, Spinal",disease
C0041327,"Tuberculosis, Pulmonary",disease
C0006057,Botulism,disease
C1257843,"Enterocolitis, Pseudomembranous",disease
C0039614,Tetanus,disease
C1318973,Staphylococcal Infections,disease
C0035436,Rheumatic Fever,disease
C0085916,Rheumatic Heart Disease,disease
C0012624,Discitis,disease
C0010356,Cross Infection,disease
C4704910,"Pregnancy Complications, Infectious",disease
C0035243,Respiratory Tract Infections,disease
C0036690,Sepsis,disease
C0011630,Dermatomycoses,disease
C0030409,Paracoccidioidomycosis,disease
C0026946,Mycoses,disease
C1306038,Histoplasmosis,disease
C0024116,"Lung Diseases, Fungal",disease
C0393484,Encephalitis,disease
C0025297,"Meningitis, Viral",disease
C0032371,Poliomyelitis,disease
C0019163,Hepatitis B,disease
C0341335,Cytomegalovirus Infections,disease
C0021345,Infectious Mononucleosis,disease
C0036220,"Sarcoma, Kaposi",disease
C0015674,"Fatigue Syndrome, Chronic",disease
C0019159,Hepatitis A,disease
C0019196,Hepatitis C,disease
C0524910,"Hepatitis C, Chronic",disease
C1956384,Hepatitis D,disease
C0019101,Hemorrhagic Fever with Renal Syndrome,disease
C0086066,Common Cold,disease
C0001857,AIDS-Related Complex,disease
C0007894,Cestode Infections,disease
C0013502,Echinococcosis,disease
C0013504,"Echinococcosis, Hepatic",disease
C0025530,Trematode Infections,disease
C0015652,Fascioliasis,disease
C0277005,Opisthorchiasis,disease
C0036323,Schistosomiasis,disease
C0021832,"Intestinal Diseases, Parasitic",disease
C0023897,"Liver Diseases, Parasitic",disease
C0024118,"Lung Diseases, Parasitic",disease
C0002438,Amebiasis,disease
C0040558,Toxoplasmosis,disease
C0023290,"Leishmaniasis, Visceral",disease
C0027333,"Trypanosomiasis, African",disease
C0024530,Malaria,disease
C0024535,"Malaria, Falciparum",disease
C0040921,Trichomonas Infections,disease
C0010709,Cysts,disease
C0751615,Arachnoid Cysts,disease
C0011649,Dermoid Cyst,disease
C0023418,Leukemia,disease
C0023443,"Leukemia, Hairy Cell",disease
C0023448,"Leukemia, Lymphoid",disease
C0023466,"Leukemia, Myeloid",disease
C1879321,"Leukemia, Myeloid, Acute",disease
C0023487,"Leukemia, Promyelocytic, Acute",disease
C0024299,Lymphoma,disease
C1334968,Hodgkin Disease,disease
C4721532,"Lymphoma, Non-Hodgkin",disease
C0079746,"Lymphoma, Large-Cell, Immunoblastic",disease
C0079773,"Lymphoma, T-Cell, Cutaneous",disease
C0023798,Lipoma,disease
C0027149,Myxoma,disease
C0023267,Leiomyoma,disease
C0023269,Leiomyosarcoma,disease
C0027095,Myosarcoma,disease
C0206660,Germinoma,disease
C0278875,Craniopharyngioma,disease
C0017638,Glioma,disease
C0001432,"Adenoma, Chromophobe",disease
C0025202,Melanoma,disease
C0027809,Neurilemmoma,disease
C1879828,Teratoma,disease
C0008497,Choriocarcinoma,disease
C0001430,Adenoma,disease
C0007097,Carcinoma,disease
C0001418,Adenocarcinoma,disease
C2239176,"Carcinoma, Hepatocellular",disease
C0279702,"Carcinoma, Renal Cell",disease
C0007133,"Carcinoma, Papillary",disease
C0007137,"Carcinoma, Squamous Cell",disease
C0281784,Meningioma,disease
C0026764,Multiple Myeloma,disease
C0032131,Plasmacytoma,disease
C0024419,Waldenstrom Macroglobulinemia,disease
C0346990,Peritoneal Neoplasms,disease
C0035358,Retroperitoneal Neoplasms,disease
C0685938,Gastrointestinal Neoplasms,disease
C0546837,Esophageal Neoplasms,disease
C0021841,Intestinal Neoplasms,disease
C0007528,Cecal Neoplasms,disease
C0009402,Colorectal Neoplasms,disease
C0007113,Rectal Neoplasms,disease
C0024623,Stomach Neoplasms,disease
C0345904,Liver Neoplasms,disease
C0030297,Pancreatic Neoplasms,disease
C1140680,Ovarian Neoplasms,disease
C0030521,Parathyroid Neoplasms,disease
C0032019,Pituitary Neoplasms,disease
C0027533,Head and Neck Neoplasms,disease
C0015461,Facial Neoplasms,disease
C0026640,Mouth Neoplasms,disease
C0007107,Laryngeal Neoplasms,disease
C2349952,Oropharyngeal Neoplasms,disease
C0376544,Hematologic Neoplasms,disease
C0006118,Brain Neoplasms,disease
C0007798,Cerebral Ventricle Neoplasms,disease
C0751300,Meningeal Neoplasms,disease
C0153646,Spinal Cord Neoplasms,disease
C0282606,Muscle Neoplasms,disease
C1959584,Heart Neoplasms,disease
C0153504,Mediastinal Neoplasms,disease
C0024121,Lung Neoplasms,disease
C0007131,"Carcinoma, Non-Small-Cell Lung",disease
C0751552,Thymus Neoplasms,disease
C0153567,Uterine Neoplasms,disease
C0376358,Prostatic Neoplasms,disease
C0751571,Urologic Neoplasms,disease
C0022665,Kidney Neoplasms,disease
C0027663,"Neoplasms, Multiple Primary",disease
C0027643,"Neoplasm Recurrence, Local",disease
C0030472,Paraneoplastic Syndromes,disease
C0001193,Acrocephalosyndactylia,disease
C4721845,Marfan Syndrome,disease
C0001206,Acromegaly,disease
C0029458,"Osteoporosis, Postmenopausal",disease
C0029420,Osteochondritis,disease
C0022821,Kyphosis,disease
C0038013,"Spondylitis, Ankylosing",disease
C0015645,Fasciitis,disease
C0039496,Temporomandibular Joint Dysfunction Syndrome,disease
C0003864,Arthritis,disease
C0086743,Osteoarthritis,disease
C0009917,Contracture,disease
C0026848,Muscular Diseases,disease
C0949496,Mitochondrial Myopathies,disease
C0026821,Muscle Cramp,symptom
C0151786,Muscle Weakness,symptom
C0026850,Muscular Dystrophies,disease
C0270952,"Muscular Dystrophy, Oculopharyngeal",disease
C0544796,Myositis,disease
C0263666,Dermatomyositis,disease
C0027127,Myotonia Congenita,disease
C0032533,Polymyalgia Rheumatica,disease
C0027080,Myoglobinuria,disease
C0035435,Rheumatic Diseases,disease
C0005424,Biliary Tract Diseases,disease
C0005416,Biliary Dyskinesia,disease
C0008350,Cholelithiasis,disease
C0009438,Gallstones,disease
C0014012,Cholecystitis,disease
C0559031,Gastrointestinal Diseases,disease
C0011168,Deglutition Disorders,disease
C1527226,CREST Syndrome,disease
C0017168,Gastroesophageal Reflux,disease
C0014868,Esophagitis,disease
C0009324,"Colitis, Ulcerative",disease
C0017152,Gastritis,disease
C0949272,Crohn Disease,disease
C0021831,Intestinal Diseases,disease
C0007527,Cecal Diseases,disease
C0022104,Irritable Bowel Syndrome,disease
C0038828,Superior Mesenteric Artery Syndrome,disease
C0030920,Peptic Ulcer,disease
C0010474,Duodenal Ulcer,disease
C0021933,Intussusception,disease
C0038354,Stomach Diseases,disease
C0032763,Postgastrectomy Syndromes,disease
C0013288,Dumping Syndrome,disease
C0023895,Liver Diseases,disease
C0019158,Hepatitis,disease
C0020541,"Hypertension, Portal",disease
C1527396,Cystic Fibrosis,disease
C0267963,Exocrine Pancreatic Insufficiency,disease
C0004096,Asthma,disease
C0264600,Voice Disorders,symptom
C0036205,"Sarcoidosis, Pulmonary",disease
C1527303,"Pulmonary Disease, Chronic Obstructive",disease
C0032285,Pneumonia,disease
C0030469,Paranasal Sinus Diseases,disease
C0037199,Sinusitis,disease
C0018621,"Rhinitis, Allergic, Seasonal",disease
C0008733,Chylothorax,disease
C0032231,Pleurisy,disease
C0037315,Sleep Apnea Syndromes,disease
C0010200,Cough,symptom
C0085619,Dyspnea,symptom
C0020578,Hyperventilation,symptom
C0340194,Respiratory Insufficiency,disease
C0155503,Vertigo,symptom
C0026769,Multiple Sclerosis,disease
C0751967,"Multiple Sclerosis, Relapsing-Remitting",disease
C0026896,Myasthenia Gravis,disease
C0013364,"Dysautonomia, Familial",disease
C1956391,Giant Cell Arteritis,disease
C0393912,Autonomic Nervous System Diseases,disease
C0020651,"Hypotension, Orthostatic",disease
C0007682,Central Nervous System Diseases,disease
C0015371,Basal Ganglia Diseases,disease
C0030567,Parkinson Disease,disease
C0030568,"Parkinson Disease, Postencephalitic",disease
C0006109,"Brain Damage, Chronic",disease
C0162309,Adrenoleukodystrophy,disease
C0017205,Gaucher Disease,disease
C0270611,Brain Injuries,disease
C0006107,Brain Concussion,disease
C0007758,Cerebellar Ataxia,symptom
C0007786,Brain Ischemia,disease
C0007785,Cerebral Infarction,disease
C0007787,"Ischemic Attack, Transient",disease
C0751572,Vertebrobasilar Insufficiency,disease
C0007273,Carotid Artery Diseases,disease
C0877854,Intracranial Arteriosclerosis,disease
C2937358,Cerebral Hemorrhage,disease
C0795688,Subarachnoid Hemorrhage,disease
C0751956,Stroke,disease
C0014544,Epilepsy,disease
C0393675,"Epilepsies, Partial",disease
C0017332,"Epilepsy, Generalized",disease
C0014553,"Epilepsy, Absence",disease
C0270858,Migraine Disorders,disease
C0549423,Hydrocephalus,disease
C0014008,Empty Sella Syndrome,disease
C0242342,Hypopituitarism,disease
C0221057,Thalamic Diseases,disease
C0003708,Arachnoiditis,disease
C0026650,Movement Disorders,disease
C0751647,"Akathisia, Drug-Induced",symptom
C0037928,Spinal Cord Diseases,disease
C0002736,Amyotrophic Lateral Sclerosis,disease
C0742803,Spinal Cord Compression,disease
C3854373,Syringomyelia,disease
C0751059,Cranial Nerve Diseases,disease
C0344247,Strabismus,disease
C0393786,Trigeminal Neuralgia,disease
C0011303,Demyelinating Diseases,disease
C4721916,"Spastic Paraplegia, Hereditary",disease
C0080218,Neural Tube Defects,disease
C0080178,Spinal Dysraphism,disease
C0342608,"Amyloid Neuropathies, Familial",disease
C0750937,Ataxia,symptom
C0233565,Hypokinesia,symptom
C0021712,Myoclonus,symptom
C0007398,Catatonia,symptom
C0234482,Aphasia,symptom
C0751527,Stuttering,symptom
C0154333,Delirium,symptom
C0549249,Consciousness Disorders,symptom
C0041657,Unconsciousness,symptom
C0700200,Syncope,symptom
C0002622,Amnesia,symptom
C0751418,Perceptual Disorders,symptom
C0544668,Hallucinations,symptom
C5441816,Psychomotor Disorders,symptom
C3495144,Apraxias,symptom
C0026846,Muscular Atrophy,symptom
C0235229,Spasm,symptom
C0917812,Tetany,symptom
C0750949,Back Pain,symptom
C0877781,Headache,symptom
C0007859,Neck Pain,symptom
C0027796,Neuralgia,symptom
C0030200,"Pain, Intractable",symptom
C0234544,Paralysis,symptom
C0277850,"Reflex, Abnormal",symptom
C0220870,Dizziness,symptom
C0020580,Hypesthesia,symptom
C0392699,Paresthesia,symptom
C3665347,Vision Disorders,symptom
C1879328,Blindness,symptom
C0271186,Diplopia,symptom
C4721453,Peripheral Nervous System Diseases,disease
C0221759,Brachial Plexus Neuritis,disease
C0393835,Diabetic Neuropathies,disease
C0007286,Carpal Tunnel Syndrome,disease
C0393851,Polyneuropathies,disease
C0751851,Arsenic Poisoning,disease
C0917799,Disorders of Excessive Somnolence,disease
C0035258,Restless Legs Syndrome,disease
C0751181,Craniocerebral Trauma,disease
C0085094,"Head Injuries, Closed",disease
C0022577,"Conjunctivitis, Allergic",disease
C0022568,Keratitis,disease
C0005745,Blepharoptosis,disease
C5197850,Dry Eye Syndromes,disease
C0018213,Graves Disease,disease
C0028960,Oligospermia,disease
C1704272,Prostatic Hyperplasia,disease
C0033581,Prostatitis,disease
C0001627,"Adrenal Hyperplasia, Congenital",disease
C0011848,Diabetes Insipidus,disease
C0687720,"Diabetes Insipidus, Neurogenic",disease
C0341703,Fanconi Syndrome,disease
C0027707,"Nephritis, Interstitial",disease
C0022660,Acute Kidney Injury,disease
C0022661,"Kidney Failure, Chronic",disease
C0004775,Bartter Syndrome,disease
C0268450,Gitelman Syndrome,disease
C0282201,"Hypophosphatemia, Familial",disease
C0033687,Proteinuria,symptom
C0042134,Uterine Hemorrhage,disease
C5545313,Pregnancy Complications,disease
C0013949,Fetal Diseases,disease
C0269899,Postpartum Hemorrhage,disease
C0032045,Placenta Diseases,disease
C0032963,"Pregnancy Complications, Cardiovascular",disease
C0034040,Puerperal Disorders,disease
C0022927,Lactation Disorders,disease
C0018798,"Heart Defects, Congenital",disease
C0018817,"Heart Septal Defects, Atrial",disease
C0018799,Heart Diseases,disease
C0003811,"Arrhythmias, Cardiac",disease
C0428908,Sick Sinus Syndrome,disease
C3468561,Atrial Fibrillation,disease
C0004239,Atrial Flutter,disease
C0428977,Bradycardia,disease
C0340464,"Cardiac Complexes, Premature",disease
C0006384,Bundle-Branch Block,disease
C0080203,Tachycardia,disease
C0039240,"Tachycardia, Supraventricular",disease
C0018789,Heart Aneurysm,disease
C0018801,Heart Failure,disease
C0026267,Mitral Valve Prolapse,disease
C0040961,Tricuspid Valve Insufficiency,disease
C0002962,Angina Pectoris,symptom
C0086666,"Angina, Unstable",symptom
C0010068,Coronary Disease,disease
C0010051,Coronary Aneurysm,disease
C0027051,Myocardial Infarction,disease
C1861172,Venous Thromboembolism,disease
C0010403,Cryoglobulinemia,disease
C0013720,Ehlers-Danlos Syndrome,disease
C0036474,Scurvy,disease
C0039445,"Telangiectasia, Hereditary Hemorrhagic",disease
C0020649,Hypotension,disease
C0042345,Varicose Veins,disease
C0042384,Vasculitis,disease
C0026691,Mucocutaneous Lymph Node Syndrome,disease
C0018939,Hematologic Diseases,disease
C0002871,Anemia,disease
C0178416,"Anemia, Aplastic",disease
C0002878,"Anemia, Hemolytic",disease
C0175816,"Anemia, Hemolytic, Autoimmune",disease
C0085578,beta-Thalassemia,disease
C0002884,"Anemia, Hypochromic",disease
C0002888,"Anemia, Megaloblastic",disease
C3494186,Hemophilia A,disease
C0043194,Wiskott-Aldrich Syndrome,disease
C0034150,Purpura,symptom
C0013374,Dysgammaglobulinemia,disease
C0030489,Paraproteinemias,disease
C0014457,Eosinophilia,disease
C0023518,Leukocytosis,disease
C0024228,Lymphatic Diseases,disease
C0001416,Lymphadenitis,disease
C0020981,Immunoblastic Lymphadenopathy,disease
C0036202,Sarcoidosis,disease
C0037997,Splenic Diseases,disease
C0016751,Fructose Intolerance,disease
C2931187,Cystinosis,disease
C0392514,Hemochromatosis,disease
C0032708,Porphyrias,disease
C0024141,"Lupus Erythematosus, Systemic",disease
C0162824,"Dermatitis, Photoallergic",disease
C0406537,Drug Eruptions,disease
C0015230,Exanthema,disease
C0002171,Alopecia Areata,disease
C0022283,Pigmentation Disorders,disease
C0162834,Hyperpigmentation,disease
C0030246,Psoriasis,disease
C0042109,Urticaria,disease
C0011880,Diabetic Ketoacidosis,disease
C0002063,Alkalosis,disease
C0026141,Hypercalcemia,disease
C0342302,"Diabetes Mellitus, Type 1",disease
C1257963,Hyperinsulinism,disease
C0271708,Hypoglycemia,disease
C0020443,Hypercholesterolemia,disease
C0002726,Amyloidosis,disease
C0020488,Hypernatremia,disease
C0020621,Hypokalemia,disease
C0020625,Hyponatremia,disease
C3714509,Nutrition Disorders,disease
C0011156,Deficiency Diseases,disease
C1510471,Avitaminosis,disease
C0003969,Ascorbic Acid Deficiency,disease
C0042850,Vitamin B Deficiency,disease
C0042847,Vitamin B 12 Deficiency,disease
C0024473,Magnesium Deficiency,disease
C0033626,Protein Deficiency,disease
C0001621,Adrenal Gland Diseases,disease
C0001623,Adrenal Insufficiency,disease
C0001403,Addison Disease,disease
C0001622,Adrenocortical Hyperfunction,disease
C0010481,Cushing Syndrome,disease
C1384514,Hyperaldosteronism,disease
C1263960,Diabetic Coma,disease
C0020502,Hyperparathyroidism,disease
C0221002,"Hyperparathyroidism, Primary",disease
C0085859,"Polyendocrinopathies, Autoimmune",disease
C0040128,Thyroid Diseases,disease
C0018021,Goiter,disease
C3714618,Hyperthyroidism,disease
C0040127,Thyroid Crisis,disease
C3665349,Hypothyroidism,disease
C0920350,"Thyroiditis, Autoimmune",disease
C0085278,Antiphospholipid Syndrome,disease
C1527304,Hypersensitivity,disease
C0013182,Drug Hypersensitivity,disease
C0282504,Environmental Illness,disease
C0037050,Sick Building Syndrome,disease
C0020522,"Hypersensitivity, Delayed",disease
C0016470,Food Hypersensitivity,disease
C0001546,Adjustment Disorders,disease
C0376280,Anxiety Disorders,disease
C0027821,Neurocirculatory Asthenia,disease
C0028768,Obsessive-Compulsive Disorder,disease
C0086769,Panic Disorder,disease
C0031570,Phobic Disorders,disease
C0003125,Anorexia Nervosa,disease
C0026785,Munchausen Syndrome,disease
C0008066,Child Behavior Disorders,disease
C0036346,"Schizophrenia, Childhood",disease
C0525045,Mood Disorders,disease
C0001723,"Affective Disorders, Psychotic",disease
C0005586,Bipolar Disorder,disease
C0086133,Depressive Disorder,disease
C1571984,"Depressive Disorder, Major",disease
C0027932,Neurotic Disorders,disease
C0027402,Personality Disorders,disease
C0233523,Antisocial Personality Disorder,disease
C0006012,Borderline Personality Disorder,disease
C0019681,Histrionic Personality Disorder,disease
C0086441,Hysteria,disease
C0036339,Schizoid Personality Disorder,disease
C1456784,Paranoid Disorders,disease
C0033958,Psychotic Disorders,disease
C0036341,Schizophrenia,disease
C0020604,Hypochondriasis,disease
C0027804,Neurasthenia,disease
C0740858,Substance-Related Disorders,disease
C1297882,Trisomy,disease
C0018944,Hematoma,disease
C0220994,Hyperammonemia,disease
C0242183,Jaundice,symptom
C0032519,Menstruation Disturbances,disease
C0032796,Amenorrhea,disease
C0027540,Necrosis,disease
C0032787,Postoperative Complications,disease
C0024591,Malignant Hyperthermia,disease
C0033936,"Psychoses, Alcoholic",disease
C0032343,Poisoning,disease
C0007020,Carbon Monoxide Poisoning,disease
C0023176,Lead Poisoning,disease
C0033941,"Psychoses, Substance-Induced",disease
C0086189,Substance Withdrawal Syndrome,disease
C0006434,Burns,disease
C0015459,Facial Injuries,disease
C1321580,Bezoars,disease
C2862185,Tibial Fractures,disease
C0004623,Bacterial Infections,disease
C0752180,Central Nervous System Bacterial Infections,disease
C0006105,Brain Abscess,disease
C0038539,"Empyema, Subdural",disease
C0270629,Epidural Abscess,disease
C0085437,"Meningitis, Bacterial",disease
C0917807,"Meningitis, Haemophilus",disease
C0343442,"Meningitis, Listeria",disease
C0751312,"Meningitis, Pneumococcal",disease
C0751568,"Tuberculosis, Meningeal",disease
C0343686,Neurosyphilis,disease
C0014121,"Endocarditis, Bacterial",disease
C0014122,"Endocarditis, Subacute Bacterial",disease
C0015404,"Eye Infections, Bacterial",disease
C0009768,"Conjunctivitis, Bacterial",disease
C0041322,"Tuberculosis, Ocular",disease
C0238419,Fournier Gangrene,disease
C0085423,Gram-Negative Bacterial Infections,disease
C0018476,Anaplasmataceae Infections,disease
C0343771,Ehrlichiosis,disease
C0018835,Heartwater Disease,disease
C0085392,Bacteroidaceae Infections,disease
C0004669,Bacteroides Infections,disease
C0029307,Bartonella Infections,disease
C0343770,"Angiomatosis, Bacillary",disease
C0007361,Cat-Scratch Disease,disease
C0040830,Trench Fever,disease
C0043167,Whooping Cough,disease
C0006035,Borrelia Infections,disease
C0024198,Lyme Disease,disease
C0014740,Erythema Chronicum Migrans,disease
C0035021,Relapsing Fever,disease
C0282677,Burkholderia Infections,disease
C0025229,Melioidosis,disease
C0006818,Campylobacter Infections,disease
C0008149,Chlamydia Infections,disease
C0887976,Chlamydophila Infections,disease
C0014347,Enterobacteriaceae Infections,disease
C1257869,"Dysentery, Bacillary",disease
C0014836,Escherichia coli Infections,disease
C0022729,Klebsiella Infections,disease
C0033700,Proteus Infections,disease
C0036117,Salmonella Infections,disease
C0030528,Paratyphoid Fever,disease
C0036114,Salmonella Food Poisoning,disease
C0036118,"Salmonella Infections, Animal",disease
C0085394,Serratia Infections,disease
C0238528,Yersinia Infections,disease
C0032064,Plague,disease
C0043410,Yersinia pseudotuberculosis Infections,disease
C0027537,Fusobacterium Infections,disease
C0343525,Lemierre Syndrome,disease
C0034686,Rat-Bite Fever,disease
C0023240,Legionellosis,disease
C0023241,Legionnaires' Disease,disease
C0023364,Leptospirosis,disease
C0043102,Weil Disease,disease
C1258225,Moraxellaceae Infections,disease
C0001139,Acinetobacter Infections,disease
C0026945,Mycoplasmatales Infections,disease
C0026936,Mycoplasma Infections,disease
C0032243,"Pleuropneumonia, Contagious",disease
C0032302,"Pneumonia, Mycoplasma",disease
C0085395,Ureaplasma Infections,disease
C0085396,Neisseriaceae Infections,disease
C0018081,Gonorrhea,disease
C0001249,Actinobacillus Infections,disease
C2028293,Haemophilus Infections,disease
C0030636,Pasteurella Infections,disease
C0033817,Pseudomonas Infections,disease
C1443892,Q Fever,disease
C0035592,Rickettsiaceae Infections,disease
C0035585,Rickettsia Infections,disease
C0006060,Boutonneuse Fever,disease
C0035793,Rocky Mountain Spotted Fever,disease
C0041472,"Typhus, Endemic Flea-Borne",disease
C0006181,"Typhus, Epidemic Louse-Borne",disease
C0036472,Scrub Typhus,disease
C0162699,Tick-Borne Diseases,disease
C0004945,Treponemal Infections,disease
C0007939,Chancre,disease
C0020186,"Syphilis, Congenital",disease
C0039132,"Syphilis, Cutaneous",disease
C0039133,"Syphilis, Latent",disease
C0042636,Vibrio Infections,disease
C0008354,Cholera,disease
C0085426,Gram-Positive Bacterial Infections,disease
C0001255,Actinomycetales Infections,disease
C0001261,Actinomycosis,disease
C0023788,Whipple Disease,disease
C0010153,Corynebacterium Infections,disease
C0026918,Mycobacterium Infections,disease
C1562585,"Leprosy, Multibacillary",disease
C0023348,"Leprosy, Lepromatous",disease
C0023346,"Leprosy, Borderline",disease
C0026916,Mycobacterium avium-intracellulare Infection,disease
C0030524,Paratuberculosis,disease
C0041325,"Peritonitis, Tuberculous",disease
C0041295,Tuberculoma,disease
C0085388,"Tuberculoma, Intracranial",disease
C0041307,"Tuberculosis, Bovine",disease
C0041308,"Tuberculosis, Cardiovascular",disease
C0031049,"Pericarditis, Tuberculous",disease
C0275904,"Tuberculosis, Central Nervous System",disease
C0343029,"Tuberculosis, Cutaneous",disease
C0024131,Lupus Vulgaris,disease
C0041312,"Tuberculosis, Gastrointestinal",disease
C0041313,"Tuberculosis, Hepatic",disease
C0041315,"Tuberculosis, Laryngeal",disease
C0036467,"Tuberculosis, Lymph Node",disease
C0041321,"Tuberculosis, Miliary",disease
C0206525,"Tuberculosis, Multidrug-Resistant",disease
C0041323,"Tuberculosis, Oral",disease
C0022415,"Tuberculosis, Osteoarticular",disease
C0041326,"Tuberculosis, Pleural",disease
C0041331,"Tuberculosis, Splenic",disease
C0041333,"Tuberculosis, Urogenital",disease
C0041311,"Tuberculosis, Female Genital",disease
C0041317,"Tuberculosis, Male Genital",disease
C0041328,"Tuberculosis, Renal",disease
C0028242,Nocardia Infections,disease
C2355609,Mycetoma,disease
C0003175,Anthrax,disease
C0343386,Clostridium Infections,disease
C0017105,Gas Gangrene,disease
C1276801,Erysipeloid,disease
C0023860,Listeriosis,disease
