disease,symptom,disease_umls,symptom_umls,weight
Abdominal Abscess,Urinary Stress Incontinence,C0243001,C0042025,1
Abdominal Migraine,Allodynia,C0270858,C0458247,1
Abdominal Migraine,Central Nervous System Origin Vertigo,C0270858,C0155503,1
Abdominal Migraine,Hemicrania,C0270858,C0877781,2
Abdominal Migraine,"Hemiplegia, Infantile",C0270858,C0392550,1
Abdominal Migraine,Hyperacusis,C0270858,C0034880,1
Abdominal Migraine,Internal Ophthalmoplegia,C0270858,C0339693,1
Abdominal Migraine,Lightheadedness,C0270858,C0220870,1
Abdominal Migraine,Motion Sickness,C0270858,C0026603,1
Abdominal Migraine,Nausea,C0270858,C0027497,2
Abdominal Migraine,Photophobia,C0270858,C0085636,2
Abdominal Migraine,Vomiting,C0270858,C0042963,1
Abdominal Neoplasms,"Abdomen, Acute",C0000735,C0000727,1
Abdominal Neoplasms,Abdominal Pain,C0000735,C0000737,1
Abdominal Neoplasms,Diarrhea,C0000735,C0011991,1
Abdominal Neoplasms,Fever of Unknown Origin,C0000735,C0015970,1
Abdominal Neoplasms,"Jaundice, Obstructive",C0000735,C0022354,1
Abdominal Neoplasms,"Myoclonus, Intention",C0000735,C0021712,1
Abdominal Neoplasms,Nausea,C0000735,C0027497,1
Abdominal Neoplasms,"Pain, Intractable",C0000735,C0030200,1
Abdominal Neoplasms,"Pain, Splitting",C0000735,C0458257,1
Abdominal Neoplasms,Vomiting,C0000735,C0042963,1
Abducens Nerve Injury,"Diplopia, Refractive",C0161407,C0271186,1
Abducens Nerve Injury,Edema,C0161407,C0013604,1
Abducens Nerve Injury,Facial paralysis,C0161407,C0015469,1
Abducens Nerve Injury,Internal Ophthalmoplegia,C0161407,C0339693,1
Abducens Nerve Injury,Occluded Pupils,C0161407,C0271131,1
Abducens Nerve Injury,Todd Paralysis,C0161407,C0234544,1
Abducens Nerve Injury,Visual Impairment,C0161407,C3665347,1
"Abducens Palsy, Childhood, Benign Recurrent","Diplopia, Refractive",C0751940,C0271186,1
"Abducens Palsy, Childhood, Benign Recurrent",Facial paralysis,C0751940,C0015469,1
"Abducens Palsy, Childhood, Benign Recurrent",Hemicrania,C0751940,C0877781,1
"Abducens Palsy, Childhood, Benign Recurrent","Horner Syndrome, Acquired",C0751940,C0751203,1
"Abducens Palsy, Childhood, Benign Recurrent",Hypesthesia,C0751940,C0020580,1
"Abducens Palsy, Childhood, Benign Recurrent",Internal Ophthalmoplegia,C0751940,C0339693,1
"Abducens Palsy, Childhood, Benign Recurrent",Muscle Weakness,C0751940,C0151786,1
"Abducens Palsy, Childhood, Benign Recurrent",Neuralgic Facial Pain,C0751940,C0751135,1
"Abducens Palsy, Childhood, Benign Recurrent",Paresis,C0751940,C0030552,1
"Abducens Palsy, Childhood, Benign Recurrent",Todd Paralysis,C0751940,C0234544,1
Abetalipoproteinemia,"Ataxia, Appendicular",C0000744,C0750937,1
Abetalipoproteinemia,Benign Hereditary Chorea,C0000744,C0393584,1
Abetalipoproteinemia,Body Weight,C0000744,C0005910,1
Abetalipoproteinemia,Cerebellar Ataxia,C0000744,C0007758,1
Abetalipoproteinemia,"Color Blindness, Red",C0000744,C0155015,1
Abetalipoproteinemia,Diarrhea,C0000744,C0011991,1
Abetalipoproteinemia,Eye Manifestations,C0000744,C0015411,1
Abetalipoproteinemia,Pill Rolling Tremor,C0000744,C0751564,1
Abetalipoproteinemia,"Reflex, Pendular",C0000744,C0277850,1
Abetalipoproteinemia,"Scotoma, Paracecal",C0000744,C0544679,1
"Abnormalities, Drug-Induced",Birth Weight,C0000771,C0005612,1
"Abnormalities, Drug-Induced",Body Weight,C0000771,C0005910,1
"Abnormalities, Drug-Induced",Feminization,C0000771,C0015799,1
"Abnormalities, Drug-Induced",Fetal Anoxia,C0000771,C0015924,1
"Abnormalities, Drug-Induced",Fetal Weight,C0000771,C0751992,1
"Abnormalities, Drug-Induced",Hyperemesis Gravidarum,C0000771,C0020450,1
"Abnormalities, Drug-Induced",Nausea,C0000771,C0027497,1
"Abnormalities, Drug-Induced",Nonepileptic Seizures,C0000771,C3495874,1
"Abnormalities, Drug-Induced",Psychomotor Impairment,C0000771,C5441816,1
"Abnormalities, Drug-Induced",Weight Gain,C0000771,C0043094,1
"Abnormalities, Radiation-Induced",Age-Related Memory Disorders,C0000773,C0751292,1
"Abnormalities, Radiation-Induced",Body Weight,C0000773,C0005910,1
"Abnormalities, Radiation-Induced",Disorientation,C0000773,C0233407,1
"Abnormalities, Radiation-Induced",Fetal Weight,C0000773,C0751992,1
"Abnormalities, Radiation-Induced",Fever,C0000773,C0015967,1
"Abnormalities, Radiation-Induced","Hearing Loss, Extreme",C0000773,C0086395,1
"Abnormalities, Radiation-Induced","Hydrops Fetalis, Non-Immune",C0000773,C0455988,1
"Abnormality, Severe Teratoid","Hydrops Fetalis, Non-Immune",C2713367,C0455988,1
"Abortion, Habitual",Birth Weight,C0000809,C0005612,1
"Abortion, Habitual",Dysmenorrhea,C0000809,C0013390,1
"Abortion, Habitual",Fetal Distress,C0000809,C0015930,1
"Abortion, Habitual",Hirsutism,C0000809,C0019572,1
"Abortion, Habitual",Hyperemesis Gravidarum,C0000809,C0020450,1
"Abortion, Habitual",Hypergammaglobulinemia,C0000809,C0020455,1
"Abortion, Habitual",Immune thrombocytopenic purpura,C0000809,C0398650,1
"Abortion, Habitual",Obesity,C0000809,C0028754,1
"Abortion, Habitual",Premature aging syndrome,C0000809,C0231341,1
"Abortion, Habitual",Psychophysiologic Disorders,C0000809,C0033931,1
"Abortion, Septic",Catatonia,C0000817,C0007398,1
"Abortion, Septic",Familial Thrombotic Thrombocytopenic Purpura,C0000817,C1956258,1
"Abortion, Septic",Fever,C0000817,C0015967,1
"Abortion, Septic",Hemoglobinuria,C0000817,C0019048,1
"Abortion, Septic","Jaundice, Hemolytic",C0000817,C0242183,1
"Abortion, Septic",Oliguria,C0000817,C0028961,1
"Abortion, Septic",Polyuria,C0000817,C0032617,1
"Abortion, Septic",Sciatica,C0000817,C0036396,1
"Abortion, Septic","Scotoma, Paracecal",C0000817,C0544679,1
"Abortion, Septic",Subacute Delirium,C0000817,C0154333,1
"Abortion, Tubal",Birth Weight,C0000822,C0005612,1
"Abortion, Tubal",Fetal Distress,C0000822,C0015930,1
"Abortion, Tubal",Fever,C0000822,C0015967,1
"Abortion, Tubal","Hydrops Fetalis, Non-Immune",C0000822,C0455988,1
"Abortion, Tubal",Hyperemesis Gravidarum,C0000822,C0020450,1
"Abortion, Tubal",Labor Pain,C0000822,C0474368,1
"Abortion, Tubal",Nausea,C0000822,C0027497,1
"Abortion, Tubal",Obesity,C0000822,C0028754,1
"Abortion, Tubal",Psychophysiologic Disorders,C0000822,C0033931,1
"Abortion, Tubal",Vomiting,C0000822,C0042963,1
"Abortion, Veterinary",Abdominal Cramps,C0000823,C0000729,1
"Abortion, Veterinary",Acoustic Trauma,C0000823,C1148522,1
"Abortion, Veterinary",Birth Weight,C0000823,C0005612,1
"Abortion, Veterinary",Body Weight,C0000823,C0005910,1
"Abortion, Veterinary",Diarrhea,C0000823,C0011991,1
"Abortion, Veterinary",Edema,C0000823,C0013604,1
"Abortion, Veterinary",Fever,C0000823,C0015967,1
"Abortion, Veterinary",Pill Rolling Tremor,C0000823,C0751564,1
"Abortion, Veterinary",Quadriparesis,C0000823,C0270790,1
"Abortion, Veterinary",Todd Paralysis,C0000823,C0234544,1
Abruptio Placentae,"Abdomen, Acute",C0000832,C0000727,1
Abruptio Placentae,Abdominal Pain,C0000832,C0000737,2
Abruptio Placentae,Birth Weight,C0000832,C0005612,1
Abruptio Placentae,Fetal Anoxia,C0000832,C0015924,1
Abruptio Placentae,Fetal Distress,C0000832,C0015930,1
Abruptio Placentae,Fetal Macrosomia,C0000832,C0015938,1
Abruptio Placentae,Proteinuria,C0000832,C0033687,1
Abruptio Placentae,"Syncope, Cerebral",C0000832,C0751721,1
Abruptio Placentae,Tetanilla,C0000832,C0917812,1
Abruptio Placentae,Weight Gain,C0000832,C0043094,1
Abscess,"Abdomen, Acute",C0000833,C0000727,1
Abscess,Abdominal Pain,C0000833,C0000737,1
Abscess,Erythema,C0000833,C0041834,1
Abscess,Fever,C0000833,C0015967,1
Abscess,Fever of Unknown Origin,C0000833,C0015970,1
Abscess,Lockjaw,C0000833,C0343495,1
Abscess,"Paraplegia, Cerebral",C0000833,C0278114,1
Abscess,Quadriparesis,C0000833,C0270790,1
Abscess,Recurrent Low Back Pain,C0000833,C0751648,1
Abscess,Urinary Stress Incontinence,C0000833,C0042025,1
Abscess,Vertebrogenic Pain Syndrome,C0000833,C0750949,1
Absence Epilepsy,"Aphasia, Semantic",C0014553,C0234482,1
Absence Epilepsy,"Hallucinations, Kinesthetic",C0014553,C0544668,1
Absence Epilepsy,"Hemiplegia, Infantile",C0014553,C0392550,1
Absence Epilepsy,Hyperventilation,C0014553,C0020578,1
Absence Epilepsy,"Myoclonus, Intention",C0014553,C0021712,1
Absence Epilepsy,Nonepileptic Seizures,C0014553,C3495874,1
Absence Epilepsy,Pill Rolling Tremor,C0014553,C0751564,1
Absence Epilepsy,Psychomotor Impairment,C0014553,C5441816,1
Absence Epilepsy,REM Sleep Deprivation,C0014553,C0751506,1
Absence Epilepsy,Unconscious State,C0014553,C0041657,1
Acalculous Cholecystitis,"Abdomen, Acute",C0267841,C0000727,1
Acalculous Cholecystitis,Abdominal Pain,C0267841,C0000737,1
Acalculous Cholecystitis,Ciliary Body Spasm,C0267841,C0235229,1
Acalculous Cholecystitis,Fever,C0267841,C0015967,1
Acalculous Cholecystitis,"Jaundice, Hemolytic",C0267841,C0242183,1
Acalculous Cholecystitis,"Jaundice, Obstructive",C0267841,C0022354,1
Acalculous Cholecystitis,Obesity,C0267841,C0028754,1
Acalculous Cholecystitis,"Pain, Intractable",C0267841,C0030200,1
Acalculous Cholecystitis,"Pain, Splitting",C0267841,C0458257,1
Acanthamoeba Keratitis,Blindness both eyes NOS (disorder),C0000880,C1879328,1
Acanthamoeba Keratitis,Low Vision,C0000880,C0042798,1
Acanthamoeba Keratitis,"Pain, Splitting",C0000880,C0458257,1
Acanthamoeba Keratitis,Sensation Disorders,C0000880,C0036659,1
Acanthamoeba Keratitis,Sensorineural Hearing Loss (disorder),C0000880,C0018784,1
Acanthamoeba Keratitis,Visual Impairment,C0000880,C3665347,1
Acanthocheilonema perstans Infection,Chills,C3489414,C0085593,1
Acanthocheilonema perstans Infection,Fever,C3489414,C0015967,1
Acanthocheilonema perstans Infection,Orthopnea,C3489414,C0085619,1
Acanthocheilonema perstans Infection,Pruritus,C3489414,C0033774,1
Acanthocheilonema perstans Infection,Visual Impairment,C3489414,C3665347,1
Acantholysis,Fever,C0000887,C0015967,1
Acantholysis,Muscle Weakness,C0000887,C0151786,1
Acantholysis,Paresis,C0000887,C0030552,1
Acantholysis,Pruritus,C0000887,C0033774,1
Acanthosis Nigricans,Androgenization,C0000889,C1452968,1
Acanthosis Nigricans,Body Weight,C0000889,C0005910,1
Acanthosis Nigricans,Hirsutism,C0000889,C0019572,1
Acanthosis Nigricans,Hyperphagia,C0000889,C0020505,1
Acanthosis Nigricans,Morbid obesity,C0000889,C0028756,1
Acanthosis Nigricans,Muscle Cramp,C0000889,C0026821,1
Acanthosis Nigricans,Obesity,C0000889,C0028754,1
Acanthosis Nigricans,Pruritus,C0000889,C0033774,1
Acanthosis Nigricans,Sensorineural Hearing Loss (disorder),C0000889,C0018784,1
Acanthosis Nigricans,Skin Manifestations,C0000889,C0037285,1
Acatalasemia Japanese type,Body Weight,C2936847,C0005910,1
Accelerated Idioventricular Rhythm,Presyncope,C0078888,C0700200,1
Accelerated Idioventricular Rhythm,"Reflex, Pendular",C0078888,C0277850,1
Accessory Nerve Disorder,"Horner Syndrome, Acquired",C0152180,C0751203,1
Accessory Nerve Disorder,Muscle Weakness,C0152180,C0151786,1
Accessory Nerve Disorder,Muscular Atrophy,C0152180,C0026846,1
Accessory Nerve Disorder,Neck Pain,C0152180,C0007859,1
Accessory Nerve Disorder,Neurogenic Hoarseness,C0152180,C0751201,1
Accessory Nerve Disorder,Paresis,C0152180,C0030552,1
Accessory Nerve Disorder,Recurrent Laryngeal Nerve Paralysis,C0152180,C0542142,1
Accessory Nerve Disorder,Shoulder Pain,C0152180,C0037011,1
Accessory Nerve Disorder,Spasmodic torticollis,C0152180,C0152116,1
Accessory Nerve Disorder,Todd Paralysis,C0152180,C0234544,1
Achlorhydria,Body Weight,C0001075,C0005910,1
Achlorhydria,Diarrhea,C0001075,C0011991,1
Achlorhydria,Dyspepsia,C0001075,C0013395,1
Achlorhydria,Eructation,C0001075,C0014724,1
Achlorhydria,Hemicrania,C0001075,C0877781,1
Achlorhydria,Infantile Diarrhea,C0001075,C0011992,1
Achlorhydria,Oral Manifestations,C0001075,C0029166,1
Achlorhydria,Proteinuria,C0001075,C0033687,1
Achlorhydria,Skin Manifestations,C0001075,C0037285,1
Achlorhydria,Tetanilla,C0001075,C0917812,1
Achondroplasia,Apnea,C0001080,C0003578,1
Achondroplasia,Body Weight,C0001080,C0005910,1
Achondroplasia,Conductive hearing loss,C0001080,C0018777,1
Achondroplasia,Flaccid Muscle Tone,C0001080,C0026825,1
Achondroplasia,"Hydrops Fetalis, Non-Immune",C0001080,C0455988,1
Achondroplasia,Intermittent Claudication,C0001080,C0021775,1
Achondroplasia,Macrocephaly,C0001080,C0221355,1
Achondroplasia,"Paraplegia, Cerebral",C0001080,C0278114,1
Achondroplasia,Quadriparesis,C0001080,C0270790,1
Achondroplasia,Recurrent Low Back Pain,C0001080,C0751648,1
Achondroplasia,hearing impairment,C0001080,C1384666,1
Acid-Base Imbalance,Diarrhea,C0001118,C0011991,1
Acid-Base Imbalance,Fetal Anoxia,C0001118,C0015924,1
Acid-Base Imbalance,Fetal Distress,C0001118,C0015930,1
Acid-Base Imbalance,Hypercapnia,C0001118,C0020440,1
Acid-Base Imbalance,Hyperventilation,C0001118,C0020578,1
Acid-Base Imbalance,Hypocapnia,C0001118,C0085383,1
Acid-Base Imbalance,"Hypothermia, Accidental",C0001118,C0274285,1
Acid-Base Imbalance,Infantile Diarrhea,C0001118,C0011992,1
Acid-Base Imbalance,Psychogenic coma,C0001118,C0860634,1
Acid-Base Imbalance,Vomiting,C0001118,C0042963,1
Acidosis,Birth Weight,C0001122,C0005612,1
Acidosis,Fetal Anoxia,C0001122,C0015924,1
Acidosis,Fetal Distress,C0001122,C0015930,1
Acidosis,Hypercapnia,C0001122,C0020440,1
Acidosis,Hyperventilation,C0001122,C0020578,1
Acidosis,"Hypothermia, Accidental",C0001122,C0274285,1
Acidosis,Infantile Diarrhea,C0001122,C0011992,1
Acidosis,Nonepileptic Seizures,C0001122,C3495874,1
Acidosis,Obesity,C0001122,C0028754,1
Acidosis,Psychogenic coma,C0001122,C0860634,1
"Acidosis, Lactic",Disorientation,C0001125,C0233407,1
"Acidosis, Lactic",Fetal Anoxia,C0001125,C0015924,1
"Acidosis, Lactic",Flaccid Muscle Tone,C0001125,C0026825,1
"Acidosis, Lactic",Hypercapnia,C0001125,C0020440,1
"Acidosis, Lactic",Hyperventilation,C0001125,C0020578,1
"Acidosis, Lactic","Hypothermia, Accidental",C0001125,C0274285,1
"Acidosis, Lactic",Nonepileptic Seizures,C0001125,C3495874,1
"Acidosis, Lactic",Oliguria,C0001125,C0028961,1
"Acidosis, Lactic",Orthopnea,C0001125,C0085619,1
"Acidosis, Lactic",Psychogenic coma,C0001125,C0860634,1
"Acidosis, Respiratory",Apnea,C0001127,C0003578,1
"Acidosis, Respiratory",Birth Weight,C0001127,C0005612,1
"Acidosis, Respiratory",Decorticate State,C0001127,C0751070,1
"Acidosis, Respiratory",Fetal Anoxia,C0001127,C0015924,1
"Acidosis, Respiratory",Hypercapnia,C0001127,C0020440,1
"Acidosis, Respiratory",Hyperoxia,C0001127,C0242706,1
"Acidosis, Respiratory",Hyperventilation,C0001127,C0020578,1
"Acidosis, Respiratory","Hypothermia, Accidental",C0001127,C0274285,1
"Acidosis, Respiratory",Hypoventilation,C0001127,C3203358,1
"Acidosis, Respiratory",Psychogenic coma,C0001127,C0860634,1
Acinar Cell Carcinoma,Diarrhea,C0206685,C0011991,1
Acinar Cell Carcinoma,Distorted hearing,C0206685,C0877848,1
Acinar Cell Carcinoma,Edema,C0206685,C0013604,1
Acinar Cell Carcinoma,Morbid obesity,C0206685,C0028756,1
Acinar Cell Carcinoma,Muscle Weakness,C0206685,C0151786,1
Acinar Cell Carcinoma,Neurogenic Hoarseness,C0206685,C0751201,1
Acinar Cell Carcinoma,"Pain, Splitting",C0206685,C0458257,1
Acinetobacter Infections,Birth Weight,C0001139,C0005612,1
Acinetobacter Infections,"Cerebrospinal Fluid Otorrhea, Traumatic",C0001139,C0751026,1
Acinetobacter Infections,Diarrhea,C0001139,C0011991,1
Acinetobacter Infections,Familial Thrombotic Thrombocytopenic Purpura,C0001139,C1956258,1
Acinetobacter Infections,Fever,C0001139,C0015967,1
Acinetobacter Infections,Meningism,C0001139,C0025287,1
Acinetobacter Infections,Orthopnea,C0001139,C0085619,1
Acinetobacter Infections,"Pain, Postoperative",C0001139,C0030201,1
Acinetobacter Infections,Psychogenic coma,C0001139,C0860634,1
Acinetobacter Infections,Weight Gain,C0001139,C0043094,1
Acne Keloid,Ecchymosis,C0001145,C0013491,1
Acne Keloid,Mobility Limitation,C0001145,C1565249,1
Acne Keloid,Obesity,C0001145,C0028754,1
Acne Keloid,"Pain, Splitting",C0001145,C0458257,1
Acne Keloid,Pruritus,C0001145,C0033774,1
Acne Vulgaris,Androgenization,C0001144,C1452968,1
Acne Vulgaris,Arthralgia,C0001144,C0003862,1
Acne Vulgaris,Cicatrix,C0001144,C2004491,1
Acne Vulgaris,Dysmenorrhea,C0001144,C0013390,1
Acne Vulgaris,Edema,C0001144,C0013604,1
Acne Vulgaris,Fever,C0001144,C0015967,1
Acne Vulgaris,Hirsutism,C0001144,C0019572,1
Acne Vulgaris,Obesity,C0001144,C0028754,1
Acne Vulgaris,"Pain, Splitting",C0001144,C0458257,1
Acne Vulgaris,Pruritus,C0001144,C0033774,1
Acne Vulgaris,Psychophysiologic Disorders,C0001144,C0033931,1
Acneiform Eruptions,Diarrhea,C0175167,C0011991,1
Acneiform Eruptions,Facial paralysis,C0175167,C0015469,1
Acneiform Eruptions,Muscle Spasticity,C0175167,C0026838,1
Acneiform Eruptions,Vertebrogenic Pain Syndrome,C0175167,C0750949,1
Acoustic Neuroma,Central Nervous System Origin Vertigo,C0027859,C0155503,1
Acoustic Neuroma,"Deafness, Sudden",C0027859,C1148477,1
Acoustic Neuroma,Distorted hearing,C0027859,C0877848,1
Acoustic Neuroma,Facial paralysis,C0027859,C0015469,1
Acoustic Neuroma,"Hearing Loss, Central",C0027859,C0018776,1
Acoustic Neuroma,"Hearing Loss, Extreme",C0027859,C0086395,1
Acoustic Neuroma,Lightheadedness,C0027859,C0220870,1
Acoustic Neuroma,Sensorineural Hearing Loss (disorder),C0027859,C0018784,1
Acoustic Neuroma,"Tinnitus, Tensor Palatini Induced",C0027859,C0751557,2
Acoustic Neuroma,hearing impairment,C0027859,C1384666,1
Acoustic Trauma,Conductive hearing loss,C1148522,C0018777,1
Acoustic Trauma,"Deafness, Sudden",C1148522,C1148477,1
Acoustic Trauma,Distorted hearing,C1148522,C0877848,1
Acoustic Trauma,"Hearing Loss, Extreme",C1148522,C0086395,1
Acoustic Trauma,"Hearing Loss, High-Frequency",C1148522,C0018780,1
Acoustic Trauma,Hyperacusis,C1148522,C0034880,1
Acoustic Trauma,Presbycusis,C1148522,C0033074,1
Acoustic Trauma,Sensorineural Hearing Loss (disorder),C1148522,C0018784,1
Acoustic Trauma,"Tinnitus, Tensor Palatini Induced",C1148522,C0751557,1
Acoustic Trauma,hearing impairment,C1148522,C1384666,1
Acquired Hypogammaglobulinemia,Arthralgia,C2936664,C0003862,1
Acquired Hypogammaglobulinemia,Cafe-au-Lait Spots,C2936664,C0221263,1
Acquired Hypogammaglobulinemia,Coughing,C2936664,C0010200,1
Acquired Hypogammaglobulinemia,Diarrhea,C2936664,C0011991,1
Acquired Hypogammaglobulinemia,"Dysarthria, Spastic",C2936664,C0454596,1
Acquired Hypogammaglobulinemia,Fever,C2936664,C0015967,1
Acquired Hypogammaglobulinemia,Hypergammaglobulinemia,C2936664,C0020455,1
Acquired Hypogammaglobulinemia,Immune thrombocytopenic purpura,C2936664,C0398650,1
Acquired Hypogammaglobulinemia,Lassitude,C2936664,C0086525,1
Acquired Hypogammaglobulinemia,Tetanilla,C2936664,C0917812,1
Acquired Immunodeficiency Syndrome,Anorexia,C0001175,C0003123,1
Acquired Immunodeficiency Syndrome,Body Weight decreased,C0001175,C0043096,1
Acquired Immunodeficiency Syndrome,Cachexia,C0001175,C0006625,1
Acquired Immunodeficiency Syndrome,Chills,C0001175,C0085593,1
Acquired Immunodeficiency Syndrome,Coughing,C0001175,C0010200,1
Acquired Immunodeficiency Syndrome,Diarrhea,C0001175,C0011991,2
Acquired Immunodeficiency Syndrome,Familial Thrombotic Thrombocytopenic Purpura,C0001175,C1956258,1
Acquired Immunodeficiency Syndrome,Fever,C0001175,C0015967,3
Acquired Immunodeficiency Syndrome,Hypergammaglobulinemia,C0001175,C0020455,1
Acquired Immunodeficiency Syndrome,Lymphatic Diseases,C0001175,C0024228,1
Acquired Immunodeficiency Syndrome,Mantoux: positive,C0001175,C0032739,1
Acquired Immunodeficiency Syndrome,Night sweats,C0001175,C0028081,1
Acquired Immunodeficiency Syndrome,Patient Non-Compliance,C0001175,C0376405,1
Acquired Immunodeficiency Syndrome,Pleuritic pain,C0001175,C0008033,1
Acquired Immunodeficiency Syndrome,Spontaneous rupture of membranes,C0001175,C0233308,1
Acquired Immunodeficiency Syndrome,Subacute Delirium,C0001175,C0154333,1
Acquired Immunodeficiency Syndrome,Thrombocytopenic purpura,C0001175,C0857305,1
Acquired Immunodeficiency Syndrome,Weight Gain,C0001175,C0043094,1
Acquired Immunodeficiency Syndrome,Weight Loss,C0001175,C1262477,1
Acquired Language Disorders,Age-Related Memory Disorders,C0454560,C0751292,1
Acquired Language Disorders,Alexia,C0454560,C0002018,1
Acquired Language Disorders,"Aphasia, Anterior",C0454560,C0454573,1
Acquired Language Disorders,"Aphasia, Semantic",C0454560,C0234482,1
Acquired Language Disorders,Auditory Inattention,C0454560,C0750942,1
Acquired Language Disorders,"Auditory Processing Disorder, Central",C0454560,C0751257,1
Acquired Language Disorders,Color Anomia,C0454560,C0750915,1
Acquired Language Disorders,Dysglossia,C0454560,C0751512,1
Acquired Language Disorders,"Stuttering, Adult",C0454560,C0751527,1
Acquired Language Disorders,Unintelligible Articulation,C0454560,C0566625,1
Acquired Meningomyelocele,Colonic Inertia,C0751316,C1257861,1
Acquired Meningomyelocele,"Gait, Festinating",C0751316,C0231694,1
Acquired Meningomyelocele,Muscle Spasticity,C0751316,C0026838,1
Acquired Meningomyelocele,Neurogenic Urinary Bladder,C0751316,C0005697,1
