umls_code,term
C0022665,Kidney Neoplasm
C0027663,"Neoplasms, Multiple Primary"
C0027643,"Neoplasm Recurrence, Local"
C0030472,Paraneoplastic Syndromes
C0001193,Apert syndrome
C4721845,"Marfan Syndrome, Type I"
C0001206,Acromegaly
C0029458,"Osteoporosis, Postmenopausal"
C0029420,Osteochondritis
C0022821,Kyphosis deformity of spine
C0038013,Ankylosing spondylitis
C0015645,Fasciitis
C0039496,Temporomandibular Joint Dysfunction Syndrome
C0003864,Arthritis
C0086743,Osteoarthrosis Deformans
C0009917,Contracture
C0026848,Myopathy
C0949496,Luft Disease
C0026821,Muscle Cramp
C0151786,Muscle Weakness
C0026850,Muscular Dystrophy
C0270952,"Muscular Dystrophy, Oculopharyngeal"
C0544796,"Myositis, Proliferative"
C0263666,"Dermatomyositis, Childhood Type"
C0027127,Myotonia Congenita
C0032533,Polymyalgia Rheumatica
C0027080,Myoglobinuria
C0035435,Rheumatism
C0005424,Biliary Tract Diseases
C0005416,Biliary Dyskinesia
C0008350,Cholelithiasis
C0009438,Common Bile Duct Calculi
C0014012,"Empyema, Gallbladder"
C0559031,Functional Gastrointestinal Disorders
C0011168,Deglutition Disorders
C1527226,CRST syndrome
C0017168,Gastroesophageal reflux disease
C0014868,Esophagitis
C0009324,Ulcerative Colitis
C0017152,Gastritis
C0949272,IIeocolitis
C0021831,Intestinal Diseases
C0007527,Cecal Diseases
C0022104,Irritable Bowel Syndrome
C0038828,Superior Mesenteric Artery Syndrome
C0030920,Peptic Ulcer
C0010474,Curling Ulcer
C0021933,Intussusception
C0038354,Stomach Diseases
C0032763,Postgastrectomy Syndromes
C0013288,Dumping Syndrome
C0023895,Liver diseases
C0019158,Hepatitis
C0020541,Portal Hypertension
C1527396,Fibrocystic Disease of Pancreas
C0267963,Exocrine pancreatic insufficiency
C0004096,Asthma
C0264600,"Voice Disorder, Neurologic"
C0036205,"Sarcoidosis, Pulmonary"
C1527303,Chronic Airflow Obstruction
C0032285,Pneumonia
C0030469,Paranasal Sinus Disorder
C0037199,Sinusitis
C0018621,Hay fever
C0008733,Chylothorax
C0032231,Pleurisy
C0037315,Sleep Apnea Syndromes
C0010200,Coughing
C0085619,Orthopnea
C0020578,Hyperventilation
C0340194,Hypoxemic Respiratory Failure
C0155503,Central Nervous System Origin Vertigo
C0026769,Multiple Sclerosis
C0751967,"Multiple Sclerosis, Relapsing-Remitting"
C0026896,Myasthenia Gravis
C0013364,"Dysautonomia, Familial"
C1956391,Temporal Arteritis
C0393912,Segmental Autonomic Dysfunction
C0020651,"Hypotension, Orthostatic"
C0007682,CNS disorder
C0015371,Extrapyramidal Disorders
C0030567,Parkinson Disease
C0030568,"Parkinson Disease, Postencephalitic"
C0006109,"Brain Damage, Chronic"
C0162309,Adrenoleukodystrophy
C0017205,Gaucher Disease
C0270611,Brain Injuries
C0006107,Brain Concussion
C0007758,Cerebellar Ataxia
C0007786,Brain Ischemia
C0007785,Cerebral Infarction
C0007787,Transient Ischemic Attack
C0751572,Vertebrobasilar Dolichoectasia
C0007273,Carotid Artery Diseases
C0877854,Cerebral Arteriosclerosis
C2937358,Cerebral Hemorrhage
C0795688,"Subarachnoid Hemorrhage, Intracranial"
C0751956,Acute Cerebrovascular Accidents
C0014544,Epilepsy
C0393675,Childhood Benign Occipital Epilepsy
C0017332,Generalized Nonconvulsive Seizure Disorder
C0014553,Absence Epilepsy
C0270858,Abdominal Migraine
C0549423,Obstructive Hydrocephalus
C0014008,Empty Sella Syndrome
C0242342,Sheehan Syndrome
C0221057,Dejerine-Roussy Syndrome
C0003708,Arachnoiditis
C0026650,Movement Disorders
C0751647,Pseudoakathisia
C0037928,Spinal Cord Diseases
C0002736,Amyotrophic Lateral Sclerosis
C0742803,Conus Medullaris Syndrome
C3854373,Morvan syndrome
C0751059,"Cranial Neuropathies, Multiple"
C0344247,Horizontal dissociated gaze palsy
C0393786,"Trigeminal Neuralgia, Idiopathic"
C0011303,Demyelinating Diseases
C4721916,Hereditary Motor-Sensory Neuropathy with Pyramidal Signs
C0080218,Tethered Cord Syndrome
C0080178,Spina Bifida
C0342608,"Amyloid Polyneuropathy, British Type (disorder)"
C0750937,"Ataxia, Appendicular"
C0233565,Bradykinesia
C0021712,"Myoclonus, Intention"
C0007398,Catatonia
C0234482,"Aphasia, Semantic"
C0751527,"Stuttering, Adult"
C0154333,Subacute Delirium
C0549249,Depressed Level of Consciousness
C0041657,Unconscious State
C0700200,Presyncope
C0002622,Amnesia
C0751418,Hemisensory Neglect
C0544668,"Hallucinations, Kinesthetic"
C5441816,Psychomotor Impairment
C3495144,"Apraxia, Articulatory"
C0026846,Muscular Atrophy
C0235229,Ciliary Body Spasm
C0917812,Tetanilla
C0750949,Vertebrogenic Pain Syndrome
C0877781,Hemicrania
C0007859,Neck Pain
C0027796,Neuralgia
C0030200,"Pain, Intractable"
C0234544,Todd Paralysis
C0277850,"Reflex, Pendular"
C0220870,Lightheadedness
C0020580,Hypesthesia
C0392699,Dysesthesia
C3665347,Visual Impairment
C1879328,Blindness both eyes NOS (disorder)
C0271186,"Diplopia, Refractive"
C4721453,Peripheral Nervous System Diseases
C0221759,Brachial Plexus Neuritis
C0393835,Diabetic Asymmetric Polyneuropathy
C0007286,Carpal Tunnel Syndrome
C0393851,"Polyneuropathy, Critical Illness"
C0751851,Arsenic Encephalopathy
C0917799,Hypersomnia
C0035258,Restless Legs Syndrome
C0751181,Frontal Region Trauma
C0085094,Closed head injuries
C0022577,"Keratoconjunctivitis, Vernal"
C0022568,Keratitis
C0005745,Blepharoptosis
C5197850,Evaporative Dry Eye Disease
C0018213,Graves Disease
C0028960,Oligospermia
C1704272,Benign Prostatic Hyperplasia
C0033581,prostatitis
C0001627,Congenital adrenal hyperplasia
C0011848,Diabetes Insipidus
C0687720,Central Diabetes Insipidus
C0341703,Adult Fanconi syndrome
C0027707,"Nephritis, Interstitial"
C0022660,"Kidney Failure, Acute"
C0022661,"Kidney Failure, Chronic"
C0004775,Bartter Disease
C0268450,Gitelman Syndrome
C0282201,Phosphate Diabetes
C0033687,Proteinuria
C0042134,Uterine hemorrhage
C5545313,Adverse Birth Outcomes
C0013949,Embryopathies
C0269899,Immediate Postpartum Hemorrhage
C0032045,Placenta Disorders
C0032963,"Pregnancy Complications, Cardiovascular"
C0034040,Puerperal Disorders
C0022927,Lactation Disorder
C0018798,Congenital Heart Defects
C0018817,Atrial Septal Defects
C0018799,Heart Diseases
C0003811,Cardiac Arrhythmia
C0428908,Sinus Node Dysfunction (disorder)
C3468561,familial atrial fibrillation
C0004239,Atrial Flutter
C0428977,Bradycardia
C0340464,Premature Cardiac Complex
C0006384,Bundle-Branch Block
C0080203,Tachyarrhythmia
C0039240,Supraventricular tachycardia
C0018789,Heart Aneurysm
C0018801,Heart failure
C0026267,Mitral Valve Prolapse Syndrome
C0040961,Tricuspid Valve Insufficiency
C0002962,Angina Pectoris
C0086666,Myocardial Preinfarction Syndrome
C0010068,Coronary heart disease
C0010051,Coronary Aneurysm
C0027051,Myocardial Infarction
C1861172,Venous Thromboembolism
C0010403,Cryoglobulinemia
C0013720,Ehlers-Danlos Syndrome
C0036474,Scurvy
C0039445,Hereditary hemorrhagic telangiectasia
C0020649,Hypotension
C0042345,Varicosity
C0042384,Vasculitis
C0026691,Mucocutaneous Lymph Node Syndrome
C0018939,Hematological Disease
C0002871,Anemia
C0178416,Hypoplastic anemia
C0002878,"Anemia, Hemolytic"
C0175816,Cold Hemagglutinin Disease
C0085578,Thalassemia Minor
C0002884,Hypochromic anemia
C0002888,"Anemia, Megaloblastic"
C3494186,Autosomal Hemophilia A
C0043194,Wiskott-Aldrich Syndrome
C0034150,Purpura
C0013374,Dysgammaglobulinemia
C0030489,Paraproteinemias
C0014457,Eosinophilia
C0023518,Leukocytosis
C0024228,Lymphatic Diseases
C0001416,Adenitis
C0020981,Angioimmunoblastic Lymphadenopathy
C0036202,Sarcoidosis
C0037997,Splenic Diseases
C0016751,Hereditary fructose intolerance syndrome
C2931187,Nephropathic cystinosis
C0392514,Hereditary hemochromatosis
C0032708,Disorders of Porphyrin Metabolism
C0024141,"Lupus Erythematosus, Systemic"
C0162824,"Dermatitis, Photoallergic"
C0406537,Morbilliform Drug Reaction
C0015230,Exanthema
C0002171,Alopecia Areata
C0022283,Incontinentia Pigmenti Achromians
C0162834,Hyperpigmentation
C0030246,Pustulosis of Palms and Soles
C0042109,Urticaria
C0011880,Diabetic Ketoacidosis
C0002063,Alkalosis
C0026141,Milk-Alkali Syndrome
C0342302,Brittle diabetes
C1257963,Endogenous Hyperinsulinism
C0271708,Fasting Hypoglycemia
C0020443,Hypercholesterolemia
C0002726,Amyloidosis
C0020488,Hypernatremia
C0020621,Hypokalemia
C0020625,Hyponatremia
C3714509,Nutrition Disorders
C0011156,Deficiency Diseases
C1510471,Vitamin Deficiency
C0003969,Ascorbic Acid Deficiency
C0042850,Vitamin B Deficiency
C0042847,Vitamin B 12 Deficiency
C0024473,Magnesium Deficiency
C0033626,Protein Deficiency
C0001621,Adrenal Gland Diseases
C0001623,Adrenal gland hypofunction
C0001403,Addison Disease
C0001622,Adrenal Gland Hyperfunction
C0010481,Cushing Syndrome
C1384514,Conn Syndrome
C1263960,Diabetes with coma (disorder)
C0020502,Hyperparathyroidism
C0221002,"Hyperparathyroidism, Primary"
C0085859,Polyglandular Type I Autoimmune Syndrome
C0040128,Thyroid Diseases
C0018021,Goiter
C3714618,Primary Hyperthyroidism
C0040127,Thyroid Crisis
C3665349,Secondary hypothyroidism
C0920350,Autoimmune thyroiditis
C0085278,Antiphospholipid Syndrome
C1527304,Allergic Reaction
C0013182,Drug Allergy
C0282504,Environmental Illness
C0037050,Sick Building Syndrome
C0020522,Delayed Hypersensitivity
C0016470,Food Allergy
C0001546,Adjustment Disorders
C0376280,"Anxiety States, Neurotic"
C0027821,Neurocirculatory Asthenia
C0028768,Obsessive-Compulsive Disorder
C0086769,Panic Attacks
C0031570,"Phobia, School"
C0003125,Anorexia Nervosa
C0026785,Munchausen Syndrome
C0008066,Child Behavior Disorders
C0036346,"Schizophrenia, Childhood"
C0525045,Mood Disorders
C0001723,"Affective Disorders, Psychotic"
C0005586,Bipolar Disorder
C0086133,Depressive Syndrome
C1571984,"Psychosis, Involutional"
C0027932,Neurotic Disorders
C0027402,Narcissistic Personality Disorder
C0233523,Antisocial behavior
C0006012,Borderline Personality Disorder
C0019681,Histrionic Personality Disorder
C0086441,Hysterical Neuroses
C0036339,Schizoid Personality Disorder
C1456784,Paranoia
C0033958,"Psychosis, Brief Reactive"
C0036341,Schizophrenia
C0020604,Hypochondriasis
C0027804,Neurasthenia
C0740858,Substance abuse problem
C1297882,Partial Trisomy
C0018944,Hematoma
C0220994,Hyperammonemia (disorder)
C0242183,"Jaundice, Hemolytic"
C0032519,Polymenorrhea
C0032796,Postpartum Amenorrhea
C0027540,Necrosis
C0032787,Postoperative Complications
C0024591,Malignant hyperpyrexia due to anesthesia
C0033936,"Psychoses, Alcoholic"
C0032343,Poisoning
C0007020,Carbon Monoxide Poisoning
C0023176,Lead Poisoning
C0033941,"Psychoses, Substance-Induced"
C0086189,Drug Withdrawal Symptoms
C0006434,Burn injury
C0015459,Facial Injuries
C1321580,Trichobezoar disorder
C2862185,Toddler's Fracture
C0004623,Bacterial Infections
C0752180,Central Nervous System Bacterial Infections
C0006105,Brain Abscess
C0038539,"Empyema, Subdural"
C0270629,Epidural Abscess
C0085437,"Meningitis, Bacterial"
C0917807,Haemophilus influenzae Meningitis Type B
C0343442,Listeria Cerebritis
C0751312,Experimental Pneumococcal Meningitis
C0751568,Tuberculous Hypertrophic Pachymeningitis
C0343686,"Neurosyphilis, Gummatous"
C0014121,Bacterial Endocarditis
C0014122,Subacute Bacterial Endocarditis
C0015404,"Eye Infections, Bacterial"
C0009768,Bacterial conjunctivitis
C0041322,"Tuberculosis, Ocular"
C0238419,Fournier Gangrene
C0085423,Gram-Negative Bacterial Infections
C0018476,Haemobartonellosis
C0343771,Human Ehrlichiosis
C0018835,Heartwater Disease
C0085392,Bacteroidaceae Infections
C0004669,Bacteroides Infections
C0029307,Oroya Fever
C0343770,Bacillary Peliosis
C0007361,Cat-Scratch Disease
C0040830,Trench Fever
C0043167,Pertussis
C0006035,Borrelia Infections
C0024198,Lyme Disease
C0014740,Erythema Chronicum Migrans
C0035021,Relapsing Fever
C0282677,Burkholderia Infections
C0025229,Melioidosis
C0006818,Campylobacter infection
C0008149,Chlamydia Infections
C0887976,Chlamydophila Infections
C0014347,Enterobacteriaceae Infections
C1257869,"Dysentery, Shigella dysenteriae"
C0014836,Escherichia coli Infections
C0022729,Klebsiella Infections
C0033700,Proteus Infections
C0036117,Salmonella infections
C0030528,Paratyphoid Fever
C0036114,Salmonella food poisoning
C0036118,"Salmonella Infections, Animal"
C0085394,Serratia Infections
C0238528,Infection by Yersinia enterocolitica
C0032064,Plague
C0043410,Yersinia pseudotuberculosis Infections
C0027537,Necrobacillosis
C0343525,Lemierre Syndrome
C0034686,Rat-Bite Fever
C0023240,Legionellosis
C0023241,Legionnaires' Disease
C0023364,Leptospirosis
C0043102,Weil Disease
C1258225,Moraxellaceae Infections
C0001139,Acinetobacter Infections
C0026945,Mycoplasmatales Infections
C0026936,Mycoplasma Infections
C0032243,"Pleuropneumonia, Contagious"
C0032302,Mycoplasma pneumonia
C0085395,Ureaplasma Infections
C0085396,Neisseriaceae Infections
C0018081,Gonorrhea
C0001249,Actinobacillus Infections
C2028293,Haemophilus influenzae Type b Infection
C0030636,Pasteurella Infections
C0033817,Pseudomonas Infections
C1443892,Chronic Q Fever
C0035592,Rickettsiaceae Infections
C0035585,Rickettsia Infections
C0006060,Boutonneuse Fever
C0035793,Rocky Mountain Spotted Fever
C0041472,Endemic Flea-Borne Typhus
C0006181,Brill-Zinsser Disease
C0036472,Scrub Typhus
C0162699,Tick-Borne Infections
C0004945,Bejel
C0007939,Syphilitic chancre
C0020186,Hutchinson's Teeth
C0039132,"Syphilis, Cutaneous"
C0039133,"Syphilis, Latent"
C0042636,Vibrio Infections
C0008354,Cholera
C0085426,Gram-Positive Bacterial Infections
C0001255,Actinomycetales Infections
C0001261,Actinomycosis
C0023788,Whipple Disease
C0010153,Corynebacterium Infections
C0026918,Mycobacterium Infections
C1562585,"Leprosy, Multibacillary"
C0023348,"Leprosy, Lepromatous"
C0023346,Borderline leprosy
C0026916,Mycobacterium avium-intracellulare Infection
C0030524,Paratuberculosis
C0041325,"Peritonitis, Tuberculous"
C0041295,Tuberculoma
C0085388,Intracranial Tuberculoma
C0041307,"Tuberculosis, Bovine"
C0041308,"Tuberculosis, Cardiovascular"
C0031049,"Pericarditis, Tuberculous"
C0275904,"Tuberculosis, Central Nervous System"
C0343029,Tuberculid
C0024131,Lupus Vulgaris
C0041312,"Tuberculosis, Gastrointestinal"
C0041313,"Tuberculosis, Hepatic"
C0041315,"Tuberculosis, Laryngeal"
C0036467,Scrofula
C0041321,"Tuberculosis, Miliary"
C0206525,"Tuberculosis, Drug-Resistant"
C0041323,"Tuberculosis, Oral"
C0022415,Joint Tuberculosis
C0041326,Pleural Tuberculosis
C0041331,"Tuberculosis, Splenic"
C0041333,"Tuberculosis, Urogenital"
C0041311,"Tuberculosis, Female Genital"
C0041317,"Tuberculosis, Male Genital"
C0041328,"Tuberculosis, Renal"
C0028242,Nocardia Infections
C2355609,Mycetoma of foot
C0003175,Anthrax disease
C0343386,Clostridium difficile infection
C0017105,Gas Gangrene
C1276801,Infection due to Erysipelothrix rhusiopathiae (disorder)
C0023860,Listeriosis
C0032308,Staphylococcal Pneumonia
C0038159,Staphylococcal Food Poisoning
C0038166,Staphylococcal Skin Infections
C0007078,carbuncle
C0376186,Impetigo Contagiosa
C0038165,Staphylococcal Scalded Skin Syndrome
C0554628,Group A Streptococcal Infections
C0013568,Ecthyma
C0014733,Erysipelas
C0032269,Pneumococcal Infections
C0155862,Streptococcal pneumonia
C0036285,Scarlet Fever
C0004626,"Pneumonia, Bacterial"
C0162627,"Skin Diseases, Bacterial"
C0238124,Necrotizing fasciitis
C0085166,Bacterial Vaginosis
C0085315,"Toxoplasmosis, Cerebral"
C0007684,Central Nervous System Infection
C0085808,"Aneurysm, Mycotic"
C0003869,"Arthritis, Infectious"
C0085435,"Arthritis, Reactive"
C0005943,"Bone Diseases, Infectious"
C0029400,Osteitis
C0029443,Osteomyelitis
C0031111,Periostitis
C0038012,Spondylitis
C0860239,Catheter related infection
C0009450,Communicable Diseases
C0872315,"Communicable Diseases, Emerging"
C0206171,Community-Acquired Infections
C1701940,"Pneumonia, Ventilator-Associated"
C0015403,Eye Infection
C0014236,Endophthalmitis
C0016397,Focal Infection
C0016398,"Focal Infection, Dental"
C0029118,Opportunistic Infections
C0162526,AIDS-Related Opportunistic Infections
C0038826,Superinfection
C0030790,Pelvic Infection
C0001577,Adnexitis
C0000817,"Abortion, Septic"
C0034041,Puerperal Infection
C0085073,Prosthesis-Related Infection
C0014013,"Empyema, Pleural"
C0376618,Endotoxemia
C0085082,Fungemia
C0036981,Endotoxic shock
C0037278,"Skin Diseases, Infectious"
C0031557,Phlegmon
C0005717,Gilchrist Disease
C0864813,Sporothrix schenckii Infection
C4505442,Trichophyton mentagrophytes Infection
C0276742,Kerion celsi
C0149778,Soft Tissue Infection
C0034161,Pus
C0000833,Abscess
C0243001,Abdominal Abscess
C0023885,Liver Abscess
C1527403,"Entamoebiasis, Hepatic"
C0267830,"Liver Abscess, Pyogenic"
C0038565,Subphrenic Abscess
C0024110,Lung Abscess
C0031024,Suppurative Periapical Periodontitis
C0031085,Periodontal Abscess
C0031157,Peritonsillar Abscess
C0085222,Psoas Abscess
C0155843,Retropharyngeal Abscess
C0014009,Empyema
C0029888,Suppurative otitis media
C1704275,Pyomyositis
C0040150,"Thyroiditis, Suppurative"
C0040524,Septic Toxemia
C0042029,Urinary tract infection
C0004659,Bacteriuria
C0034359,Pyuria
C1704430,Urinary Schistosomiasis
C0043241,Wound Infection
C0038941,Surgical Wound Infection
C0004030,Aspergillosis
C0004031,"Aspergillosis, Allergic Bronchopulmonary"
C0006840,Candidiasis
C0006849,Oral candidiasis
C0085436,"Meningitis, Cryptococcal"
C0009186,Coccidioidomycosis
C3888929,Cryptococcus gattii Infection
C1535939,Pneumocystis jiroveci pneumonia
C0085407,Microsporidiosis
C0343961,Entomophthoramycosis
C0026718,Mucormycosis
C0043528,Zoonoses
C0003723,Arbovirus Infections
C0005866,Bluetongue infection
C0011311,Dengue Fever
C0014055,Arbovirus encephalitis
C0014053,"Encephalitis, California"
C0014057,Japanese Encephalitis
C0014060,"Encephalitis, St. Louis"
C0015632,"Encephalitis, Far Eastern Russian"
C0751583,"Encephalitis, West Nile Fever"
C0014074,"Encephalomyelitis, Equine"
C0153065,"Encephalomyelitis, Eastern Equine"
C0014078,Venezuelan equine encephalomyelitis
C0030372,Phlebotomus Fever
