MeSH Term,MeSH Code
"Hypobetalipoproteinemia, Familial, Apolipoprotein B",D052476
"Phenylketonuria, Maternal",D017042
"Pregnancy Complications, Infectious",D011251
Gyrate Atrophy,D015799
Tricuspid Valve Prolapse,D014263
Mucocele,D009078
"Pregnancy, Tubal",D011274
Serotonin Syndrome,D020230
"Purpura, Thrombotic Thrombocytopenic",D011697
Immunologic Deficiency Syndromes,D007153
Wernicke Encephalopathy,D014899
Dermatitis Herpetiformis,D003874
Focal Nodular Hyperplasia,D020518
Tick Toxicoses,D013986
"Leukemia, Lymphoid",D007945
Paranasal Sinus Diseases,D010254
Q Fever,D011778
Uterine Cervical Erosion,D002579
Liver Neoplasms,D008113
Dyspepsia,D004415
Echovirus Infections,D004457
Basal Ganglia Hemorrhage,D020145
"Cardiomyopathy, Hypertrophic",D002312
"Hydatidiform Mole, Invasive",D002820
Diaphragmatic Eventration,D003965
Legionnaires' Disease,D007877
Persian Gulf Syndrome,D018923
"Aphasia, Primary Progressive",D018888
Dry Socket,D004368
Trismus,D014313
Phlebotomus Fever,D010217
"Hyperbilirubinemia, Neonatal",D051556
Central Nervous System Fungal Infections,D020314
Hyperhidrosis,D006945
Budd-Chiari Syndrome,D006502
End Stage Liver Disease,D058625
Thrombosis,D013927
"Tuberculosis, Cardiovascular",D014381
Fetal Hypoxia,D005311
Complex Regional Pain Syndromes,D020918
"Cerebral Amyloid Angiopathy, Familial",D028243
"Hernia, Diaphragmatic, Traumatic",D006549
Filariasis,D005368
Diabetic Angiopathies,D003925
Spinocerebellar Degenerations,D013132
Strongyloidiasis,D013322
Giant Cell Arteritis,D013700
Bone Cysts,D001845
Pneumocystis Infections,D016720
"Myasthenic Syndromes, Congenital",D020294
Carbuncle,D002270
Nerve Compression Syndromes,D009408
Orbital Myositis,D055622
"Breast Neoplasms, Male",D018567
Inert Gas Narcosis,D007222
"Hematoma, Epidural, Cranial",D006407
Fibrous Dysplasia of Bone,D005357
Body Dysmorphic Disorders,D057215
Pneumonia,D011014
"Papilloma, Inverted",D018308
Pyonephrosis,D053018
Inappropriate ADH Syndrome,D007177
Passive-Aggressive Personality Disorder,D010324
Mental Fatigue,D005222
Esophageal Neoplasms,D004938
"Polyendocrinopathies, Autoimmune",D016884
Central Nervous System Neoplasms,D016543
Blood Group Incompatibility,D001787
Ataxia,D001259
Tarsal Tunnel Syndrome,D013641
Neuroectodermal Tumors,D017599
Endocarditis,D004696
"Glaucoma, Angle-Closure",D015812
Vascular Fistula,D016157
Propionic Acidemia,D056693
"Typhus, Epidemic Louse-Borne",D014438
Vascular Diseases,D014652
Eructation,D004884
"Encephalitis, Viral",D018792
Anencephaly,D000757
Erythema Multiforme,D004892
Hyperlipoproteinemia Type V,D006954
Livedo Reticularis,D054068
"von Willebrand Disease, Type 2",D056728
Mycotoxicosis,D015651
Gastroenteritis,D005759
Agranulocytosis,D000380
Aortic Valve Insufficiency,D001022
Myofibromatosis,D018224
Osteolysis,D010014
Fetofetal Transfusion,D005330
Leriche Syndrome,D007925
High Pressure Neurological Syndrome,D006610
Apraxias,D001072
"Fractures, Spontaneous",D005598
Testicular Neoplasms,D013736
Myositis Ossificans,D009221
"Dermatitis, Irritant",D017453
Plague,D010930
Atherosclerosis,D050197
Lens Diseases,D007905
"Plagiocephaly, Nonsynostotic",D049068
Autonomic Nervous System Diseases,D001342
Lung Injury,D055370
Cardiac Tamponade,D002305
Intestinal Diseases,D007410
Urethral Obstruction,D014524
"Rhinitis, Allergic, Seasonal",D006255
"Brain Hemorrhage, Traumatic",D020201
Ganglion Cysts,D045888
"Skin Diseases, Eczematous",D017443
Impetigo,D007169
"Skin Diseases, Parasitic",D012876
Hydatidiform Mole,D006828
Respiratory Insufficiency,D012131
Root Caries,D017213
"Neoplasms, Basal Cell",D018295
Pneumovirus Infections,D018186
Demyelinating Diseases,D003711
Barotrauma,D001469
"Hypertension, Pulmonary",D006976
Acid-Base Imbalance,D000137
Myxedema,D009230
"Bone Demineralization, Pathologic",D018488
Sex Chromosome Disorders,D025064
Salmonella Food Poisoning,D012478
Kearns-Sayre Syndrome,D007625
Foreign-Body Migration,D005548
Duodenogastric Reflux,D004383
Mood Disorders,D019964
Schizophrenia,D012559
Prostatic Hyperplasia,D011470
"Hernia, Ventral",D006555
Seizures,D012640
Anorexia Nervosa,D000856
Birnaviridae Infections,D018175
Blepharoptosis,D001763
"Epilepsy, Absence",D004832
"Rhinitis, Atrophic",D012222
Otitis Media with Effusion,D010034
"Gonadal Dysgenesis, Mixed",D006060
Piedra,D010854
"Conjunctivitis, Acute Hemorrhagic",D003232
Colloid Cysts,D056364
Immersion Foot,D007102
"Cystadenocarcinoma, Mucinous",D018282
Tangier Disease,D013631
Bacterial Infections,D001424
HIV Seropositivity,D006679
Renal Insufficiency,D051437
Vitamin B 12 Deficiency,D014806
"Conjunctivitis, Inclusion",D003235
Urinary Calculi,D014545
Retinitis Pigmentosa,D012174
Tendon Entrapment,D053682
Severe Acute Respiratory Syndrome,D045169
Sigmoid Diseases,D012810
Esophageal Cyst,D004934
Phosphorus Metabolism Disorders,D010760
Illusions,D007088
"Osteoarthritis, Hip",D015207
Hyperemesis Gravidarum,D006939
Substance-Related Disorders,D019966
Ulcer,D014456
Night Terrors,D020184
"Burns, Inhalation",D002059
Tetralogy of Fallot,D013771
Cherubism,D002636
Premenstrual Syndrome,D011293
"Neoplasms, Multiple Primary",D009378
Foreign Bodies,D005547
Retinal Artery Occlusion,D015356
Langer-Giedion Syndrome,D015826
Iron Metabolism Disorders,D019189
Peptic Ulcer,D010437
Syphilis,D013587
Sepsis,D018805
Parovarian Cyst,D010310
Adenolymphoma,D000235
Renal Aminoacidurias,D000608
"Angiomatosis, Bacillary",D016917
"Meningitis, Viral",D008587
Deficiency Diseases,D003677
Heart Diseases,D006331
Flatfoot,D005413
Oral Fistula,D016155
Gastric Outlet Obstruction,D017219
Perinephritis,D010501
"Tachycardia, Ectopic Junctional",D013613
Choroid Neoplasms,D002830
Vitreous Detachment,D020255
Periarthritis,D010489
Spinal Fractures,D016103
Hemoglobinopathies,D006453
Cystadenocarcinoma,D003536
Oesophagostomiasis,D009814
"Endocarditis, Bacterial",D004697
Brain Edema,D001929
Muscle Cramp,D009120
"Fractures, Comminuted",D018460
"Cystic Adenomatoid Malformation of Lung, Congenital",D015615
"Esthesioneuroblastoma, Olfactory",D018304
Zoonoses,D015047
Spondylitis,D013166
Lymphangiomyoma,D008203
Rheumatoid Nodule,D012218
Leukemia P388,D007941
"Jaundice, Chronic Idiopathic",D007566
Tissue Adhesions,D000267
Keratitis,D007634
"Glomerulosclerosis, Focal Segmental",D005923
"Neoplasms, Adnexal and Skin Appendage",D018294
Chiari-Frommel Syndrome,D002640
Urinary Bladder Neck Obstruction,D001748
Hand Dermatoses,D006229
Ocular Hypertension,D009798
Uterine Prolapse,D014596
Autoimmune Diseases of the Nervous System,D020274
Sjogren-Larsson Syndrome,D016111
Scleredema Adultorum,D012592
Tinnitus,D014012
"Blindness, Cortical",D019575
Thalassemia,D013789
"Leukemia, Hairy Cell",D007943
Sertoli-Leydig Cell Tumor,D018310
Miliaria,D008883
Yellow Nail Syndrome,D056684
Dentinogenesis Imperfecta,D003811
"Dermatitis, Perioral",D019557
Uveitis,D014605
Accessory Nerve Diseases,D020436
Insulin Resistance,D007333
Tonsillitis,D014069
Mushroom Poisoning,D009145
Burning Mouth Syndrome,D002054
Immunoblastic Lymphadenopathy,D007119
Ureterocele,D014518
Cardiovascular Abnormalities,D018376
Periodontal Pocket,D010514
Foreign-Body Reaction,D005549
Proteus Infections,D011512
Neurofibromatosis 1,D009456
"Anemia, Diamond-Blackfan",D029503
"Lipodystrophy, Congenital Generalized",D052497
Eunuchism,D005058
"Nevus, Epithelioid and Spindle Cell",D018332
"Ichthyosiform Erythroderma, Congenital",D016113
Neurilemmoma,D009442
"Acidosis, Lactic",D000140
"Pregnancy Complications, Hematologic",D011250
Birth Weight,D001724
"Neoplasms, Squamous Cell",D018307
Intraoperative Complications,D007431
Presbyopia,D011305
Transvestism,D014190
Vascular Malformations,D054079
Periostitis,D010522
Retinal Dysplasia,D015792
Central Nervous System Cysts,D020863
Surgical Wound Dehiscence,D013529
Shellfish Poisoning,D057096
Pneumoperitoneum,D011027
Tendon Injuries,D013708
Giant Axonal Neuropathy,D056768
Post-Concussion Syndrome,D038223
Laboratory Infection,D007757
Hidradenitis Suppurativa,D017497
Neuritis,D009443
Septo-Optic Dysplasia,D025962
Eosinophilia,D004802
Cystinuria,D003555
"Eye Injuries, Penetrating",D015807
"Pneumonia, Viral",D011024
"Cholestasis, Intrahepatic",D002780
HELLP Syndrome,D017359
Esophageal Perforation,D004939
Amniotic Band Syndrome,D000652
Rhabdomyosarcoma,D012208
Taeniasis,D013622
Alkaptonuria,D000474
"Steroid Metabolism, Inborn Errors",D043202
Unverricht-Lundborg Syndrome,D020194
"Epilepsy, Complex Partial",D017029
Scrapie,D012608
Periodontal Cyst,D010509
Vestibular Diseases,D015837
Perceptual Disorders,D010468
Xerostomia,D014987
"Nephritis, Interstitial",D009395
Deaf-Blind Disorders,D054062
Purpura,D011693
"Neoplasm Regression, Spontaneous",D009365
"Tuberculosis, Hepatic",D014386
Silver-Russell Syndrome,D056730
"Anemia, Hemolytic, Congenital",D000745
Achlorhydria,D000126
Rhinophyma,D012224
Catalepsy,D002375
Poxviridae Infections,D011213
Hypolipoproteinemias,D007009
"Muscular Dystrophy, Oculopharyngeal",D039141
Macroglossia,D008260
Glossitis,D005928
Feminization,D005262
Spinocerebellar Ataxias,D020754
"Intracranial Hemorrhage, Traumatic",D020198
Cor Triatriatum,D003310
Protein S Deficiency,D018455
Disseminated Intravascular Coagulation,D004211
Nervous System Malformations,D009421
Schistosomiasis,D012552
"Pneumonia, Atypical Interstitial, of Cattle",D011016
Chorioamnionitis,D002821
Sphenoid Sinusitis,D015524
Duane Retraction Syndrome,D004370
Polyarteritis Nodosa,D010488
"Genital Diseases, Female",D005831
Rheumatic Nodule,D012215
Gangliosidoses,D005733
Mikulicz' Disease,D008882
Colonic Diseases,D003108
Pulmonary Blastoma,D018202
Glossalgia,D005926
"Hemorrhagic Fever, Ebola",D019142
Isolated Noncompaction of the Ventricular Myocardium,D056830
"Hematoma, Subdural, Chronic",D020200
"Tuberculosis, Oral",D014393
Synkinesis,D046608
Muscular Atrophy,D009133
Meningeal Neoplasms,D008577
Hyperpigmentation,D017495
Ventricular Septal Rupture,D018658
Sialic Acid Storage Disease,D029461
Ileitis,D007079
"Aspergillosis, Allergic Bronchopulmonary",D001229
Tooth Migration,D014085
Wolman Disease,D015223
Stomach Volvulus,D013277
"Optic Neuropathy, Ischemic",D018917
Mitral Valve Prolapse,D008945
"Cholesteatoma, Middle Ear",D018424
Pericarditis,D010493
Gynecomastia,D006177
Sexual Infantilism,D050035
Postpericardiotomy Syndrome,D011185
Cutaneous Fistula,D017577
Meningocele,D008588
Hemorrhagic Septicemia,D006483
"Dermatitis, Phototoxic",D017484
Child Nutrition Disorders,D015362
"Typhus, Endemic Flea-Borne",D014437
Iliac Aneurysm,D017543
Hyperoxaluria,D006959
Placenta Accreta,D010921
Protozoan Infections,D011528
Gingivitis,D005891
Sunstroke,D013474
Muscle Neoplasms,D019042
Rift Valley Fever,D012295
Paraneoplastic Endocrine Syndromes,D009384
"Placenta, Retained",D018457
Granuloma Inguinale,D006100
"Neoplasms, Glandular and Epithelial",D009375
Gonadal Disorders,D006058
Fecal Incontinence,D005242
Ethmoid Sinusitis,D015521
"Colitis, Ischemic",D017091
Vitiligo,D014820
"Jaundice, Neonatal",D007567
"Dental Occlusion, Traumatic",D003769
Polydactyly,D017689
Periapical Diseases,D010483
"Ventricular Dysfunction, Right",D018497
Feline Acquired Immunodeficiency Syndrome,D016181
Rickettsia Infections,D012282
Papilledema,D010211
"Mental Retardation, X-Linked",D038901
Steatitis,D013231
"Adenoma, Oxyphilic",D018249
Canavan Disease,D017825
Hiccup,D006606
Gout,D006073
Bone Resorption,D001862
Psoas Abscess,D016659
Rigor Mortis,D012298
"Brain Stem Hemorrhage, Traumatic",D020203
Temporomandibular Joint Dysfunction Syndrome,D013706
Adenomatous Polyposis Coli,D011125
"Anticipation, Genetic",D020132
Asthenia,D001247
Pigmentation Disorders,D010859
"Tachycardia, Sinoatrial Nodal Reentry",D013615
Ehlers-Danlos Syndrome,D004535
Fox-Fordyce Disease,D005588
Afferent Loop Syndrome,D000343
Stomach Rupture,D013275
Overnutrition,D044343
Open Bite,D024343
"Embolism, Cholesterol",D017700
Mucopolysaccharidosis IV,D009085
"Sarcoma, Clear Cell",D018227
"Heart Septal Defects, Ventricular",D006345
Maxillofacial Abnormalities,D019767
Facial Neuralgia,D005156
"Leukemia, Myeloid, Chronic-Phase",D015466
"Epilepsies, Myoclonic",D004831
Neurogenic Inflammation,D020078
"Glossitis, Benign Migratory",D005929
Enterovirus Infections,D004769
"Toxoplasmosis, Animal",D014124
"Fetal Membranes, Premature Rupture",D005322
"Lead Poisoning, Nervous System, Childhood",D020264
Heroin Dependence,D006556
Motor Skills Disorders,D019957
Diabetes Complications,D048909
Hypercementosis,D006936
Vomiting,D014839
"Abortion, Threatened",D000033
"Multiple Sclerosis, Chronic Progressive",D020528
"Niemann-Pick Disease, Type C",D052556
Botulism,D001906
CADASIL,D046589
Spinal Muscular Atrophies of Childhood,D014897
Abruptio Placentae,D000037
Intracranial Embolism and Thrombosis,D002542
Spermatocele,D013088
Chagas Disease,D014355
Chorea,D002819
"Malocclusion, Angle Class I",D008311
Central Nervous System Vascular Malformations,D020785
Tracheoesophageal Fistula,D014138
Achondroplasia,D000130
Esophageal Stenosis,D004940
Tooth Abrasion,D014072
"Carcinoma, Verrucous",D018289
"Embolism, Air",D004618
Adrenal Insufficiency,D000309
Blood Protein Disorders,D001796
Aortic Arch Syndromes,D001015
Death,D003643
"Neuralgia, Postherpetic",D051474
Osteonecrosis,D010020
Leiomyosarcoma,D007890
Spinal Stenosis,D013130
"Coproporphyria, Hereditary",D046349
Exostoses,D005096
Hematologic Neoplasms,D019337
"Paraneoplastic Syndromes, Nervous System",D020361
"Trypanosomiasis, African",D014353
"Neoplasms, Muscle Tissue",D009379
Hypoglycemia,D007003
Common Bile Duct Diseases,D003137
Dandy-Walker Syndrome,D003616
Fanconi Anemia,D005199
Metaplasia,D008679
Hookworm Infections,D006725
"Dysentery, Amebic",D004404
Priapism,D011317
Refsum Disease,D012035
Antley-Bixler Syndrome Phenotype,D054882
Edema,D004487
Protein Deficiency,D011488
Prenatal Exposure Delayed Effects,D011297
"Neoplasms, Complex and Mixed",D018193
Kidney Neoplasms,D007680
Paracoccidioidomycosis,D010229
Chlamydia Infections,D002690
Angina Pectoris,D000787
Amblyopia,D000550
Venous Thromboembolism,D054556
Ephemeral Fever,D004810
Spinal Osteophytosis,D013128
Yersinia pseudotuberculosis Infections,D015012
Fabry Disease,D000795
Retinitis,D012173
"Dermatitis, Exfoliative",D003873
Opsoclonus-Myoclonus Syndrome,D053578
Tooth Avulsion,D014084
"Epilepsy, Frontal Lobe",D017034
Pellagra,D010383
Bacillaceae Infections,D016863
Nail Diseases,D009260
Hemoglobinuria,D006456
"Carcinoma, Hepatocellular",D006528
Hypothermia,D007035
Muscle Hypertonia,D009122
Embryo Loss,D020964
Sickle Cell Trait,D012805
Myoclonic Cerebellar Dyssynergia,D002527
Thyroid Hormone Resistance Syndrome,D018382
"Meningitis, Bacterial",D016920
Heart Aneurysm,D006322
Simian Acquired Immunodeficiency Syndrome,D016097
Plant Poisoning,D010939
"Hemangioma, Cavernous, Central Nervous System",D020786
Phencyclidine Abuse,D010623
Molluscum Contagiosum,D008976
Nasopharyngeal Diseases,D009302
Invasive Pulmonary Aspergillosis,D055744
Meconium Aspiration Syndrome,D008471
Retrobulbar Hemorrhage,D019315
"Goiter, Endemic",D006043
Urogenital Abnormalities,D014564
Brachial Plexus Neuritis,D020968
Cardiomegaly,D006332
Seasonal Affective Disorder,D016574
Pyloric Stenosis,D011707
Hyperthyroxinemia,D006981
Sleep Bruxism,D020186
Immune Reconstitution Inflammatory Syndrome,D054019
Bipolar Disorder,D001714
Rhinoscleroma,D012226
Soft Tissue Infections,D018461
"Glioma, Subependymal",D018315
Lymphocytosis,D008218
Intracranial Arterial Diseases,D020765
Respiratory Paralysis,D012133
Malignant Hyperthermia,D008305
Facial Dermatoses,D005148
Pulmonary Aspergillosis,D055732
Coronary Aneurysm,D003323
Macrophage Activation Syndrome,D055501
Hepatitis E,D016751
"Pregnancy, Abdominal",D011269
"Genital Neoplasms, Female",D005833
Protein-Losing Enteropathies,D011504
Fibroadenoma,D018226
"Hearing Loss, High-Frequency",D006316
Urticaria Pigmentosa,D014582
Subdural Effusion,D013353
Water-Electrolyte Imbalance,D014883
"Parasitic Diseases, Animal",D010273
Tourette Syndrome,D005879
Chondromatosis,D018210
"Parkinson Disease, Postencephalitic",D010301
Mastoiditis,D008417
Radiation Injuries,D011832
Ureaplasma Infections,D016869
"Neoplasms, Experimental",D009374
Sleep Apnea Syndromes,D012891
Intracranial Thrombosis,D020767
Motor Neuron Disease,D016472
"Xanthogranuloma, Juvenile",D014972
Paraplegia,D010264
Syndactyly,D013576
Ovotesticular Disorders of Sex Development,D050090
"Tuberculosis, Avian",D014379
Nelson Syndrome,D009347
Vesico-Ureteral Reflux,D014718
Ectropion,D004483
Ophthalmoplegia,D009886
Discrete Subaortic Stenosis,D021922
Vitreous Hemorrhage,D014823
Glomus Tumor,D005918
Choline Deficiency,D002796
Pterygium,D011625
"Aneurysm, False",D017541
Multiple Myeloma,D009101
Ulnar Nerve Compression Syndromes,D017769
"Sleep Disorders, Circadian Rhythm",D020178
"Hyperbilirubinemia, Hereditary",D006933
"Aphasia, Wernicke",D001041
Hypesthesia,D006987
"Arthritis, Reactive",D016918
Glycosuria,D006029
Oligodendroglioma,D009837
Warts,D014860
Hepatic Insufficiency,D048550
Classical Lissencephalies and Subcortical Band Heterotopias,D054221
"Meningitis, Escherichia coli",D020814
Hepatopulmonary Syndrome,D020065
Myocardial Infarction,D009203
"Colorectal Neoplasms, Hereditary Nonpolyposis",D003123
"Thyroiditis, Autoimmune",D013967
Hydronephrosis,D006869
"Hepatitis B, Chronic",D019694
Substance Withdrawal Syndrome,D013375
"Meningitis, Fungal",D016921
Elimination Disorders,D019960
Marchiafava-Bignami Disease,D054319
Paranasal Sinus Neoplasms,D010255
Testicular Hydrocele,D006848
Anuria,D001002
Hyperostosis Frontalis Interna,D006957
Anisakiasis,D017129
Calciphylaxis,D002115
Hereditary Central Nervous System Demyelinating Diseases,D020279
Central Nervous System Viral Diseases,D020805
Leukemia L1210,D007939
"Death, Sudden",D003645
Labor Pain,D048949
Panniculitis,D015434
Retroperitoneal Fibrosis,D012185
Dysphonia,D055154
"Pericarditis, Constrictive",D010494
HIV-Associated Lipodystrophy Syndrome,D039682
Echinostomiasis,D004451
Laryngeal Edema,D007819
"Hyperlipidemia, Familial Combined",D006950
Disease,D004194
Lymphatic Metastasis,D008207
Uterine Inversion,D019687
"Intracranial Hemorrhage, Hypertensive",D020299
Postpartum Hemorrhage,D006473
Feeding and Eating Disorders of Childhood,D019959
Stuttering,D013342
Moraxellaceae Infections,D045828
Kallmann Syndrome,D017436
Thymus Hyperplasia,D013952
Tonic Pupil,D015845
"Adenocarcinoma, Papillary",D000231
Nausea,D009325
Language Development Disorders,D007805
Multiple Acyl Coenzyme A Dehydrogenase Deficiency,D054069
Osteochondromatosis,D018216
"Rupture, Spontaneous",D012422
Paranoid Disorders,D010259
Spondylarthropathies,D025242
"Carcinoma, Mucoepidermoid",D018277
"Gastritis, Atrophic",D005757
Mediastinal Emphysema,D008478
Stevens-Johnson Syndrome,D013262
"Skin Diseases, Metabolic",D012875
Bone Marrow Neoplasms,D019046
Scoliosis,D012600
Chylothorax,D002916
Cartilage Diseases,D002357
Otorhinolaryngologic Neoplasms,D010039
"Hamartoma Syndrome, Multiple",D006223
Hernia,D006547
Osteopetrosis,D010022
"Burns, Electric",D002058
"Peritonitis, Tuberculous",D014395
Bell Palsy,D020330
Factor X Deficiency,D005171
"Keratosis, Seborrheic",D017492
Diabetes Mellitus,D003920
Stupor,D053608
"Epiphyses, Slipped",D004839
Glycogen Storage Disease Type I,D005953
Multiple Sulfatase Deficiency Disease,D052517
"Foot Deformities, Congenital",D005532
Vitamin E Deficiency,D014811
Gerstmann-Straussler-Scheinker Disease,D016098
Cerebral Amyloid Angiopathy,D016657
Albuminuria,D000419
Dicrocoeliasis,D004011
Phlebitis,D010689
Splenic Rupture,D013161
Idiopathic Pulmonary Fibrosis,D054990
Gram-Negative Bacterial Infections,D016905
Combat Disorders,D003130
Leishmaniasis,D007896
"Muscular Dystrophies, Limb-Girdle",D049288
Ellis-Van Creveld Syndrome,D004613
Enterobiasis,D017229
Sick Sinus Syndrome,D012804
Ichthyosis,D007057
"Exostoses, Multiple Hereditary",D005097
Femoral Neoplasms,D005266
"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",D015464
Subacute Sclerosing Panencephalitis,D013344
Chronic Periodontitis,D055113
Multiple Sclerosis,D009103
Swine Erysipelas,D013554
Inflammatory Breast Neoplasms,D058922
"Melanoma, Amelanotic",D018328
Neuronal Ceroid-Lipofuscinoses,D009472
von Willebrand Diseases,D014842
Erythrokeratodermia Variabilis,D056266
Acquired Hyperostosis Syndrome,D020083
Arcus Senilis,D001112
Pancreatitis,D010195
Pityriasis,D010915
"Sarcoma, Kaposi",D012514
"Lymphoma, AIDS-Related",D016483
"Porphyria, Acute Intermittent",D017118
"Dermatitis, Toxicodendron",D011040
RNA Virus Infections,D012327
Adams-Stokes Syndrome,D000219
Esophageal Motility Disorders,D015154
"Hypertension, Renovascular",D006978
Fetal Macrosomia,D005320
Pyoderma Gangrenosum,D017511
Alien Hand Syndrome,D055964
Postpoliomyelitis Syndrome,D016262
"Hepatitis, Infectious Canine",D006522
Yaws,D015001
Typhoid Fever,D014435
Emaciation,D004614
Pulmonary Valve Stenosis,D011666
"Pain, Postoperative",D010149
"Liver Neoplasms, Experimental",D008114
Oliguria,D009846
"Hyperostosis, Diffuse Idiopathic Skeletal",D004057
Sleep Arousal Disorders,D020921
"Reflex, Abnormal",D012021
Ganglioneuroblastoma,D018305
Puerperal Disorders,D011644
"Shock, Traumatic",D012774
"Cardiomyopathy, Restrictive",D002313
Arteriolosclerosis,D050379
Hyponatremia,D007010
Oophoritis,D009869
Vestibular Neuronitis,D020338
Drug Hypersensitivity,D004342
Mastitis,D008413
Carcinoma in Situ,D002278
"Protoporphyria, Erythropoietic",D046351
Quadriplegia,D011782
"Porphyrias, Hepatic",D017094
Lingual Thyroid,D046151
"Infarction, Anterior Cerebral Artery",D020243
Hand-Arm Vibration Syndrome,D053421
Oral Manifestations,D009912
Abdominal Neoplasms,D000008
Congenital Abnormalities,D000013
Central Nervous System Protozoal Infections,D020808
"Adenocarcinoma, Mucinous",D002288
"Hypersensitivity, Immediate",D006969
Night Blindness,D009755
"Sarcoma, Synovial",D013584
Vulvar Neoplasms,D014846
"Vitreoretinopathy, Proliferative",D018630
Heel Spur,D036982
Ageusia,D000370
Compulsive Personality Disorder,D003193
Clubfoot,D003025
"Tuberculosis, Female Genital",D014384
Acrodermatitis,D000169
Acrospiroma,D018250
"Candidiasis, Oral",D002180
Speech Disorders,D013064
Williams Syndrome,D018980
Intra-Articular Fractures,D057072
Heart Rupture,D006341
Lissencephaly,D054082
MELAS Syndrome,D017241
Persistent Vegetative State,D018458
"Lung, Hyperlucent",D019568
"Corneal Dystrophies, Hereditary",D003317
"Radiation Injuries, Experimental",D011833
Hearing Loss,D034381
Myositis,D009220
Anaplasmosis,D000712
Anterior Wall Myocardial Infarction,D056988
Weight Gain,D015430
"Epilepsy, Partial, Sensory",D020937
Rectal Neoplasms,D012004
Rheumatic Fever,D012213
"Tuberculosis, Bovine",D014380
Meningomyelocele,D008591
"Goiter, Substernal",D006045
Lacrimal Apparatus Diseases,D007766
"Abortion, Incomplete",D000027
"Dermatitis, Photoallergic",D017454
Staphylococcal Infections,D013203
Dental Enamel Hypoplasia,D003744
Citrullinemia,D020159
Myosarcoma,D009217
Paresis,D010291
Athetosis,D001264
"Sleep Disorders, Intrinsic",D020919
"Amputation, Traumatic",D000673
Foot Dermatoses,D005533
Radius Fractures,D011885
Sarcocystosis,D012523
Narcolepsy,D009290
"Uveitis, Anterior",D014606
"Sarcoma, Yoshida",D012517
Sarcoma,D012509
"Leukemia, Eosinophilic, Acute",D015472
Oral Hemorrhage,D006472
Epidermolysis Bullosa Acquisita,D016107
Cataplexy,D002385
"Child Development Disorders, Pervasive",D002659
"Head Injuries, Closed",D016489
"Leukemia, Plasma Cell",D007952
